"producto","variedad","Precio Mayorista","Precio Minorista","Procedencia","observaciones","fecha","Mercado"
"Lechuga","Crespa","0   Bs.-/Canasta","2   Bs.-/Unidad","Santa Cruz","","02/09/2015","Trinidad"
"Lechuga","Escarola","0   Bs.-/Canasta","5   Bs.-/Unidad","Santa Cruz","grandes","02/09/2015","Trinidad"
"Lima","Criolla","0   Bs.-/100 U.","15   Bs.-/25 U.","Beni","","02/09/2015","Trinidad"
"Limon","Amarillo","0   Bs.-/100 U.","10   Bs.-/25 U.","Beni","","02/09/2015","Trinidad"
"Limon","Criollo","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","02/09/2015","Trinidad"
"Limon","de Licuar","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","02/09/2015","Trinidad"
"Locoto","Cochabambino","0   Bs.-/Arroba (@)","9   Bs.-/3 Libras","Santa Cruz","","02/09/2015","Trinidad"
"Maiz","Blanco","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Maiz","Choclo","0   Bs.-/100 U.","24   Bs.-/Docena","Beni","a Bs 2 c/u","02/09/2015","Trinidad"
"Maiz","Duro","0   Bs.-/qq","4   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Mandarina","Japonesa","30   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","02/09/2015","Trinidad"
"Mani","Pelado","0   Bs.-/Arroba (@)","18   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Manzana","Lanin royal","0   Bs.-/Caja de 150U.","3   Bs.-/Unidad","Santa Cruz","","02/09/2015","Trinidad"
"Naranja","Criolla","30   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","02/09/2015","Trinidad"
"Oca","Amarilla","0   Bs.-/Arroba (@)","4   Bs.-/3 Libras","Santa Cruz","","02/09/2015","Trinidad"
"Papa","Desiree (Holandesa)","0   Bs.-/Bolsa (10@)","45   Bs.-/Arroba (@)","Santa Cruz","","02/09/2015","Trinidad"
"Papa","Waycha (Arinosa)","0   Bs.-/Bolsa (10@)","45   Bs.-/Arroba (@)","Santa Cruz","","02/09/2015","Trinidad"
"Papaliza","Amarilla","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","Santa Cruz","","02/09/2015","Trinidad"
"Pepino","Comun","0   Bs.-/Arroba (@)","3   Bs.-/3 Libras","Santa Cruz","","02/09/2015","Trinidad"
"Pimenton","4 Puntas","0   Bs.-/Bolsa Grande","18   Bs.-/Docena","Beni","medianos","02/09/2015","Trinidad"
"Pollo","Granja","11   Bs.-/Kilo","12   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Repollo","Hibrido","0   Bs.-/Unidad","10   Bs.-/Unidad","Santa Cruz","grandes","02/09/2015","Trinidad"
"Tomate","Pera","0   Bs.-/Caja de 18 Kg","6   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Trigo","Comun","0   Bs.-/Arroba (@)","10   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Vainita","Comun","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","02/09/2015","Trinidad"
"Yuca","Blanca","0   Bs.-/Bolsa (4@)","50   Bs.-/Arroba (@)","Beni","","02/09/2015","Trinidad"
"Zanahoria","Chantenay","0   Bs.-/Bolsa (10@)","45   Bs.-/Arroba (@)","Santa Cruz","","02/09/2015","Trinidad"
"Zapallo","Quintalero","0   Bs.-/Kilo","4   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Acelga","Comun","0   Bs.-/Amarro","15   Bs.-/Amarro","Santa Cruz","","18/07/2014","Trinidad"
"Achojcha","Comun","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Santa Cruz","","18/07/2014","Trinidad"
"Arveja","Verde (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","18/07/2014","Trinidad"
"Azucar","Guabira","0   Bs.-/qq","6   Bs.-/Kilo","Santa Cruz","","18/07/2014","Trinidad"
"Azucar","San Aurelio","0   Bs.-/qq","6   Bs.-/Kilo","Santa Cruz","","18/07/2014","Trinidad"
"Azucar","Unagro","0   Bs.-/qq","6   Bs.-/Kilo","Santa Cruz","","18/07/2014","Trinidad"
"Brocoli","Bola verde","0   Bs.-/Canasta","8   Bs.-/Unidad","Santa Cruz","","18/07/2014","Trinidad"
"Cebolla","Roja","0   Bs.-/Bolsa (8@)","70   Bs.-/Arroba (@)","Santa Cruz","","18/07/2014","Trinidad"
"Coliflor","Bola de nieve","0   Bs.-/Canasta","10   Bs.-/Unidad","Santa Cruz","","18/07/2014","Trinidad"
"Durazno","Amarillo","0   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","Santa Cruz","","18/07/2014","Trinidad"
"Frejol","Carioca","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","18/07/2014","Trinidad"
"Frutilla","Sweet Charlie","0   Bs.-/Kilo","18   Bs.-/Kilo","Santa Cruz","","18/07/2014","Trinidad"
"Haba","Comun (en vaina)","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Santa Cruz","","18/07/2014","Trinidad"
"Harina","de Trigo","0   Bs.-/qq","82   Bs.-/Arroba (@)","Santa Cruz","","18/07/2014","Trinidad"
"Huevo","Criollo","0   Bs.-/100 U.","90   Bs.-/100 U.","Beni","","18/07/2014","Trinidad"
"Huevo","de Granja","0   Bs.-/100 U.","62   Bs.-/100 U.","Santa Cruz","","18/07/2014","Trinidad"
"Lechuga","Crespa","0   Bs.-/Canasta","3   Bs.-/Unidad","Santa Cruz","","18/07/2014","Trinidad"
"Lechuga","Escarola","0   Bs.-/Canasta","5   Bs.-/Unidad","Santa Cruz","","18/07/2014","Trinidad"
"Lima","Criolla","0   Bs.-/100 U.","15   Bs.-/25 U.","Santa Cruz","","18/07/2014","Trinidad"
"Limon","Amarillo","0   Bs.-/100 U.","10   Bs.-/25 U.","Beni","","18/07/2014","Trinidad"
"Limon","Criollo","0   Bs.-/100 U.","12   Bs.-/25 U.","Santa Cruz","","18/07/2014","Trinidad"
