"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Trigo","Comun","Santa Cruz","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","","28/12/2010","Trinidad"
"Vainita","Comun","Santa Cruz","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","","28/12/2010","Trinidad"
"Yuca","Blanca","Beni","0   Bs.-/Bolsa (4@)","40   Bs.-/Arroba (@)","","28/12/2010","Trinidad"
"Yuca","Rosada","Guarayos","0   Bs.-/Bolsa (4@)","40   Bs.-/Arroba (@)","","28/12/2010","Trinidad"
"Zanahoria","Chantenay","Santa Cruz","0   Bs.-/Bolsa (10@)","45   Bs.-/Arroba (@)","","28/12/2010","Trinidad"
"Zapallo","Quintalero","Santa Cruz","0   Bs.-/Kilo","4   Bs.-/Kilo","","28/12/2010","Trinidad"
"Acelga","Comun","Santa Cruz","0   Bs.-/Amarro","12   Bs.-/Amarro","malchito y hojas chica","27/12/2010","Trinidad"
"Achojcha","Comun","Santa Cruz","0   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","","27/12/2010","Trinidad"
"Arveja","Verde (en vaina)","Santa Cruz","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","","27/12/2010","Trinidad"
"Azucar","Guabira","Santa Cruz","0   Bs.-/qq","6   Bs.-/Kilo"," Municipio","27/12/2010","Trinidad"
"Azucar","San Aurelio","Santa Cruz","0   Bs.-/qq","4   Bs.-/Kilo","Emapa","27/12/2010","Trinidad"
"Brocoli","Bola verde","Santa Cruz","0   Bs.-/Canasta","6   Bs.-/Unidad","chico","27/12/2010","Trinidad"
"Cebolla","Blanca","Santa Cruz","0   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","","27/12/2010","Trinidad"
"Cebolla","Roja","Santa Cruz","0   Bs.-/Bolsa (8@)","28   Bs.-/Arroba (@)","","27/12/2010","Trinidad"
"Coliflor","Bola de nieve","Santa Cruz","0   Bs.-/Canasta","6   Bs.-/Unidad","chico","27/12/2010","Trinidad"
"Durazno","Criollo","Santa Cruz","0   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","","27/12/2010","Trinidad"
"Frejol","Carioca","Santa Cruz","0   Bs.-/qq","8   Bs.-/Kilo","","27/12/2010","Trinidad"
"Haba","Comun (en vaina)","Santa Cruz","0   Bs.-/Bolsa (2@)","7   Bs.-/3 Libras","","27/12/2010","Trinidad"
"Harina","de Trigo","Santa Cruz","0   Bs.-/qq","50   Bs.-/Arroba (@)","","27/12/2010","Trinidad"
"Huevo","Criollo","Santa Cruz","0   Bs.-/100 U.","100   Bs.-/100 U.","","27/12/2010","Trinidad"
"Huevo","de Granja","Santa Cruz","0   Bs.-/100 U.","60   Bs.-/100 U.","","27/12/2010","Trinidad"
"Lechuga","Crespa","Santa Cruz","0   Bs.-/Canasta","2   Bs.-/Unidad","","27/12/2010","Trinidad"
"Lechuga","Escarola","Santa Cruz","0   Bs.-/Canasta","4   Bs.-/Unidad","","27/12/2010","Trinidad"
"Limon","Criollo","Santa Cruz","0   Bs.-/100 U.","45   Bs.-/25 U.","","27/12/2010","Trinidad"
"Limon","de Licuar","Santa Cruz","0   Bs.-/100 U.","30   Bs.-/25 U.","","27/12/2010","Trinidad"
"Locoto","Cochabambino","Santa Cruz","0   Bs.-/Arroba (@)","8   Bs.-/3 Libras","amarillento y chico","27/12/2010","Trinidad"
"Maiz","Choclo","Santa Cruz","0   Bs.-/100 U.","18   Bs.-/Docena","","27/12/2010","Trinidad"
"Maiz","Duro","Santa Cruz","0   Bs.-/qq","3   Bs.-/Kilo","","27/12/2010","Trinidad"
"Mani","Pelado","Santa Cruz","0   Bs.-/Arroba (@)","16   Bs.-/Kilo","","27/12/2010","Trinidad"
"Manzana","Lanin royal","Santa Cruz","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","","27/12/2010","Trinidad"
"Naranja","Criolla","Beni","0   Bs.-/100 U.","30   Bs.-/25 U.","","27/12/2010","Trinidad"
"Oca","Amarilla","Santa Cruz","0   Bs.-/Arroba (@)","4   Bs.-/3 Libras","","27/12/2010","Trinidad"
"Papa","Desiree (Holandesa)","Santa Cruz","0   Bs.-/Bolsa (10@)","48   Bs.-/Arroba (@)","","27/12/2010","Trinidad"
"Papa","Waycha (Arinosa)","Santa Cruz","0   Bs.-/Bolsa (10@)","58   Bs.-/Arroba (@)","","27/12/2010","Trinidad"
"Papaliza","Amarilla","Santa Cruz","0   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","27/12/2010","Trinidad"
"Pepino","Comun","Santa Cruz","0   Bs.-/Arroba (@)","4   Bs.-/3 Libras","","27/12/2010","Trinidad"
"Pimenton","4 Puntas","Santa Cruz","0   Bs.-/Bolsa Grande","12   Bs.-/Docena","","27/12/2010","Trinidad"
"Pollo","Granja","Santa Cruz","0   Bs.-/Kilo","17   Bs.-/Kilo","","27/12/2010","Trinidad"
"Repollo","Hibrido","Santa Cruz","0   Bs.-/Unidad","6   Bs.-/Unidad","chico y malchito","27/12/2010","Trinidad"
"Tomate","Pera","Santa Cruz","0   Bs.-/Caja de 18 Kg","6   Bs.-/Kilo","maduros","27/12/2010","Trinidad"
"Trigo","Comun","Santa Cruz","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","","27/12/2010","Trinidad"
"Vainita","Comun","Santa Cruz","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","","27/12/2010","Trinidad"
"Yuca","Blanca","Beni","0   Bs.-/Bolsa (4@)","40   Bs.-/Arroba (@)","","27/12/2010","Trinidad"
"Zanahoria","Chantenay","Santa Cruz","0   Bs.-/Bolsa (10@)","50   Bs.-/Arroba (@)","grande","27/12/2010","Trinidad"
"Zapallo","Quintalero","Santa Cruz","0   Bs.-/Kilo","4   Bs.-/Kilo","","27/12/2010","Trinidad"
"Acelga","Comun","Santa Cruz","0   Bs.-/Amarro","14   Bs.-/Amarro","grande ","25/12/2010","Trinidad"
"Achojcha","Comun","Santa Cruz","0   Bs.-/Bolsa (2@)","4   Bs.-/3 Libras","verdosa","25/12/2010","Trinidad"
"Aji","Rojo en Vaina Dulce","Santa Cruz","0   Bs.-/Arroba (@)","40   Bs.-/Kilo","","25/12/2010","Trinidad"
"Aji","Rojo en Vaina Picante","Santa Cruz","0   Bs.-/Arroba (@)","35   Bs.-/Kilo","","25/12/2010","Trinidad"
"Arveja","Verde (en vaina)","Santa Cruz","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","","25/12/2010","Trinidad"
"Azucar","Guabira","Santa Cruz","0   Bs.-/qq","7   Bs.-/Kilo","","25/12/2010","Trinidad"
"Azucar","San Aurelio","Santa Cruz","0   Bs.-/qq","4   Bs.-/Kilo","","25/12/2010","Trinidad"
"Brocoli","Bola verde","Santa Cruz","0   Bs.-/Canasta","8   Bs.-/Unidad","grande ","25/12/2010","Trinidad"
"Cebolla","Blanca","Santa Cruz","0   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","","25/12/2010","Trinidad"
"Cebolla","Roja","Santa Cruz","0   Bs.-/Bolsa (8@)","28   Bs.-/Arroba (@)","","25/12/2010","Trinidad"
"Coliflor","Bola de nieve","Santa Cruz","0   Bs.-/Canasta","8   Bs.-/Unidad","grande ","25/12/2010","Trinidad"
"Durazno","Criollo","Santa Cruz","0   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","","25/12/2010","Trinidad"
"Espinaca","Comun","Santa Cruz","0   Bs.-/Bolsa Grande","4   Bs.-/3 Libras","0,10 hoja","25/12/2010","Trinidad"
"Frejol","Carioca","Santa Cruz","0   Bs.-/qq","8   Bs.-/Kilo","","25/12/2010","Trinidad"
"Frejol","Mantecoso","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","25/12/2010","Trinidad"
"Frejol","Negro","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","25/12/2010","Trinidad"
"Haba","Comun (en vaina)","Santa Cruz","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","","25/12/2010","Trinidad"
"Harina","de Trigo","Santa Cruz","0   Bs.-/qq","50   Bs.-/Arroba (@)","modelo princesa","25/12/2010","Trinidad"
"Huevo","de Granja","Santa Cruz","0   Bs.-/100 U.","60   Bs.-/100 U.","primera","25/12/2010","Trinidad"
"Lechuga","Crespa","Santa Cruz","0   Bs.-/Canasta","3   Bs.-/Unidad","grande ","25/12/2010","Trinidad"
"Lechuga","Escarola","Santa Cruz","0   Bs.-/Canasta","5   Bs.-/Unidad","grande ","25/12/2010","Trinidad"
"Limon","Criollo","Santa Cruz","0   Bs.-/100 U.","35   Bs.-/25 U.","","25/12/2010","Trinidad"
"Limon","de Licuar","Santa Cruz","0   Bs.-/100 U.","30   Bs.-/25 U.","","25/12/2010","Trinidad"
"Locoto","Cochabambino","Santa Cruz","0   Bs.-/Arroba (@)","8   Bs.-/3 Libras","verdosa","25/12/2010","Trinidad"
"Maiz","Blanco","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","25/12/2010","Trinidad"
"Maiz","Choclo","Santa Cruz","0   Bs.-/100 U.","24   Bs.-/Docena","","25/12/2010","Trinidad"
"Maiz","Duro","Santa Cruz","0   Bs.-/qq","3   Bs.-/Kilo","","25/12/2010","Trinidad"
"Maiz","Morocho (Culli)","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","25/12/2010","Trinidad"
"Mani","Pelado","Santa Cruz","0   Bs.-/Arroba (@)","14   Bs.-/Kilo","","25/12/2010","Trinidad"
"Manzana","Lanin royal","Santa Cruz","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","","25/12/2010","Trinidad"
"Naranja","Criolla","Santa Cruz","0   Bs.-/100 U.","12   Bs.-/25 U.","","25/12/2010","Trinidad"
"Oca","Amarilla","Santa Cruz","0   Bs.-/Arroba (@)","4   Bs.-/3 Libras","","25/12/2010","Trinidad"
"Papa","Desiree (Holandesa)","Santa Cruz","0   Bs.-/Bolsa (10@)","45   Bs.-/Arroba (@)","","25/12/2010","Trinidad"
"Papa","Waycha (Arinosa)","Santa Cruz","0   Bs.-/Bolsa (10@)","60   Bs.-/Arroba (@)","","25/12/2010","Trinidad"
"Papaliza","Amarilla","Santa Cruz","0   Bs.-/Arroba (@)","4   Bs.-/3 Libras","","25/12/2010","Trinidad"
"Pepino","Comun","Santa Cruz","0   Bs.-/Arroba (@)","2   Bs.-/3 Libras","grande ","25/12/2010","Trinidad"
"Pimenton","4 Puntas","Santa Cruz","0   Bs.-/Bolsa Grande","14   Bs.-/Docena","grande ","25/12/2010","Trinidad"
"Pollo","Criollo","Santa Cruz","0   Bs.-/Kilo","25   Bs.-/Kilo","lugareño","25/12/2010","Trinidad"
"Pollo","Granja","Santa Cruz","0   Bs.-/Kilo","17   Bs.-/Kilo","sofia","25/12/2010","Trinidad"
"Repollo","Hibrido","Santa Cruz","0   Bs.-/Unidad","10   Bs.-/Unidad","grande ","25/12/2010","Trinidad"
"Tomate","Manzana","Santa Cruz","0   Bs.-/Caja de 18 Kg","9   Bs.-/Kilo","grande ","25/12/2010","Trinidad"
"Tomate","Pera","Santa Cruz","0   Bs.-/Caja de 18 Kg","7   Bs.-/Kilo","mediano","25/12/2010","Trinidad"
"Trigo","Comun","Santa Cruz","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","","25/12/2010","Trinidad"
"Trigo","Pelado o Curtido","Santa Cruz","0   Bs.-/Arroba (@)","9   Bs.-/Kilo","","25/12/2010","Trinidad"
"Vainita","Comun","Santa Cruz","0   Bs.-/Arroba (@)","8   Bs.-/3 Libras","","25/12/2010","Trinidad"
"Yuca","Blanca","Beni","0   Bs.-/Bolsa (4@)","35   Bs.-/Arroba (@)","","25/12/2010","Trinidad"
"Yuca","Rosada","Descon.","0   Bs.-/Bolsa (4@)","30   Bs.-/Arroba (@)","","25/12/2010","Trinidad"
"Zanahoria","Chantenay","Santa Cruz","0   Bs.-/Bolsa (10@)","45   Bs.-/Arroba (@)","","25/12/2010","Trinidad"
"Zapallo","Quintalero","Santa Cruz","0   Bs.-/Kilo","4   Bs.-/Kilo","","25/12/2010","Trinidad"
"Acelga","Comun","Santa Cruz","0   Bs.-/Amarro","12   Bs.-/Amarro","","24/12/2010","Trinidad"
"Achojcha","Comun","Santa Cruz","0   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","","24/12/2010","Trinidad"
"Aji","Rojo en Vaina Dulce","Santa Cruz","0   Bs.-/Arroba (@)","35   Bs.-/Kilo","","24/12/2010","Trinidad"
"Arveja","Verde (en vaina)","Santa Cruz","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","","24/12/2010","Trinidad"
"Azucar","Guabira","Santa Cruz","0   Bs.-/qq","6   Bs.-/Kilo","","24/12/2010","Trinidad"
"Azucar","San Aurelio","Santa Cruz","0   Bs.-/qq","4   Bs.-/Kilo","","24/12/2010","Trinidad"
"Brocoli","Bola verde","Santa Cruz","0   Bs.-/Canasta","8   Bs.-/Unidad","","24/12/2010","Trinidad"
