"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Acelga","Comun","Los Negros","8   Bs.-/Amarro","10   Bs.-/Amarro","Hoja Grande","23/12/2011","Santa Cruz"
"Achojcha","Comun","Hierba buena","40   Bs.-/Bolsa (2@)","3   Bs.-/3 Libras","Grande","23/12/2011","Santa Cruz"
"Arveja","Verde (en vaina)","San Isidro","120   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Vaina grande","23/12/2011","Santa Cruz"
"Azucar","Guabira","Del Norte","270   Bs.-/qq","6   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Azucar","San Aurelio","Del Norte","270   Bs.-/qq","6   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Azucar","Unagro","Del Norte","275   Bs.-/qq","7   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Brocoli","Bola verde","Los Negros","120   Bs.-/Canasta","8   Bs.-/Unidad","Grade","23/12/2011","Santa Cruz"
"Cebolla","Blanca","Peru","280   Bs.-/Bolsa (8@)","35   Bs.-/Arroba (@)","","23/12/2011","Santa Cruz"
"Cebolla","Roja","Cochabamba","176   Bs.-/Bolsa (8@)","26   Bs.-/Arroba (@)","Grande","23/12/2011","Santa Cruz"
"Coliflor","Bola de nieve","Los Negros","150   Bs.-/Canasta","12   Bs.-/Unidad","Grande","23/12/2011","Santa Cruz"
"Durazno","Amarillo","Argentina","200   Bs.-/Caja de 23 Kg","13   Bs.-/Kilo","Grande","23/12/2011","Santa Cruz"
"Durazno","Criollo","Cochabamba","130   Bs.-/Caja de 23 Kg","10   Bs.-/Kilo","Grande","23/12/2011","Santa Cruz"
"Espinaca","Comun","San Isidro","150   Bs.-/Bolsa Grande","12   Bs.-/3 Libras","Hoja Grande","23/12/2011","Santa Cruz"
"Frejol","Carioca","Descon.","225   Bs.-/qq","10   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Frejol","Mantecoso","Descon.","325   Bs.-/qq","12   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Frejol","Negro","Descon.","185   Bs.-/qq","9   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Frutilla","Sweet Charlie","Comarapa","10   Bs.-/Kilo","12   Bs.-/Kilo","Grande","23/12/2011","Santa Cruz"
"Haba","Comun (en vaina)","Cochabamba","30   Bs.-/Bolsa (2@)","2   Bs.-/3 Libras","Mediana","23/12/2011","Santa Cruz"
"Harina","de Maiz amarillo","Del Norte","85   Bs.-/qq","20   Bs.-/Arroba (@)","","23/12/2011","Santa Cruz"
"Harina","de Trigo","Argentina","190   Bs.-/qq","50   Bs.-/Arroba (@)","","23/12/2011","Santa Cruz"
"Harina","Morada","Del Valle","240   Bs.-/qq","70   Bs.-/Arroba (@)","","23/12/2011","Santa Cruz"
"Huevo","Criollo","Santa Cruz","65   Bs.-/100 U.","68   Bs.-/100 U.","","23/12/2011","Santa Cruz"
"Huevo","de Granja","Santa Cruz","60   Bs.-/100 U.","65   Bs.-/100 U.","Grande","23/12/2011","Santa Cruz"
"Lechuga","Crespa","Los Negros","90   Bs.-/Canasta","3   Bs.-/Unidad","Grande","23/12/2011","Santa Cruz"
"Lechuga","Escarola","Los Negros","80   Bs.-/Canasta","3   Bs.-/Unidad","Mediana","23/12/2011","Santa Cruz"
"Lechuga","Morada","Los Negros","100   Bs.-/Canasta","4   Bs.-/Unidad","Mediana","23/12/2011","Santa Cruz"
"Lima","Criolla","Yapacaní","100   Bs.-/100 U.","25   Bs.-/25 U.","Grande","23/12/2011","Santa Cruz"
"Limon","Amarillo","Cruceño","40   Bs.-/100 U.","10   Bs.-/25 U.","Grande","23/12/2011","Santa Cruz"
"Limon","Criollo","Yapacaní","30   Bs.-/100 U.","8   Bs.-/25 U.","Chico","23/12/2011","Santa Cruz"
"Limon","de Licuar","Yapacaní","30   Bs.-/100 U.","8   Bs.-/25 U.","Grande","23/12/2011","Santa Cruz"
"Locoto","Cochabambino","Los Negros","40   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","23/12/2011","Santa Cruz"
"Maiz","Blanco","Cochabamba","400   Bs.-/qq","12   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Maiz","Blanco pelado","Cochabamba","390   Bs.-/qq","10   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Maiz","Choclo","La Paz","110   Bs.-/100 U.","10   Bs.-/Docena","De primera","23/12/2011","Santa Cruz"
"Maiz","Duro","Cruceño","70   Bs.-/qq","4   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Maiz","Morocho (Culli)","Cochabamba","270   Bs.-/qq","9   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Mani","Overo Desgranado","Cruceño","640   Bs.-/qq","14   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Mani","Overo en vaina","Sucre","790   Bs.-/qq","22   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Mani","Pelado","Cruceño","170   Bs.-/Arroba (@)","16   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Mani","Rojo largo Desgranado","Cruceño","540   Bs.-/qq","12   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Mani","Rojo largo en vaina","Sucre","800   Bs.-/qq","24   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Manzana","Criolla","Vallegrande","80   Bs.-/Arroba (@)","5   Bs.-/Libra","","23/12/2011","Santa Cruz"
"Manzana","Lanin royal","Argentina","240   Bs.-/Caja de 150U.","3   Bs.-/Unidad","Grande","23/12/2011","Santa Cruz"
"Naranja","Criolla","Yapacaní","32   Bs.-/100 U.","8   Bs.-/25 U.","Mediana","23/12/2011","Santa Cruz"
"Oca","Amarilla","Cochabamba","35   Bs.-/Arroba (@)","4   Bs.-/3 Libras","Grande","23/12/2011","Santa Cruz"
"Oca","Negra","Descon.","40   Bs.-/Arroba (@)","5   Bs.-/3 Libras","Grande","23/12/2011","Santa Cruz"
"Papa","Desiree (Holandesa)","Cochabamba","400   Bs.-/Bolsa (10@)","44   Bs.-/Arroba (@)","Grande","23/12/2011","Santa Cruz"
"Papa","Imilla","Cochabamba","140   Bs.-/Bolsa (10@)","18   Bs.-/Arroba (@)","Chico","23/12/2011","Santa Cruz"
"Papa","Waycha (Arinosa)","Cochabamba","340   Bs.-/Bolsa (10@)","38   Bs.-/Arroba (@)","Grande","23/12/2011","Santa Cruz"
"Papaliza","Amarilla","Cochabamba","30   Bs.-/Arroba (@)","4   Bs.-/3 Libras","","23/12/2011","Santa Cruz"
"Pepino","Comun","Los Negros","30   Bs.-/Arroba (@)","4   Bs.-/3 Libras","Mediana","23/12/2011","Santa Cruz"
"Pimenton","4 Puntas","Los Negros","100   Bs.-/Bolsa Grande","10   Bs.-/Docena","Grande","23/12/2011","Santa Cruz"
"Pollo","Criollo","Mairana","11   Bs.-/Kilo","12   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Pollo","Granja","Cruceño","13   Bs.-/Kilo","14   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Repollo","Hibrido","Los Negros","3   Bs.-/Unidad","5   Bs.-/Unidad","","23/12/2011","Santa Cruz"
"Tomate","Manzana","Los Negros","70   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","Grande","23/12/2011","Santa Cruz"
"Tomate","Pera","Los Negros","70   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","Grande Pinton","23/12/2011","Santa Cruz"
"Trigo","Comun","Cochabamba","80   Bs.-/Arroba (@)","8   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Trigo","Pelado o Curtido","Cochabamba","90   Bs.-/Arroba (@)","9   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Vainita","Comun","Los Negros","25   Bs.-/Arroba (@)","3   Bs.-/3 Libras","","23/12/2011","Santa Cruz"
"Yuca","Blanca","Del Norte","160   Bs.-/Bolsa (4@)","45   Bs.-/Arroba (@)","Grande","23/12/2011","Santa Cruz"
"Yuca","Rosada","Del Norte","160   Bs.-/Bolsa (4@)","45   Bs.-/Arroba (@)","Grande","23/12/2011","Santa Cruz"
"Zanahoria","Chantenay","Cochabamba","200   Bs.-/Bolsa (10@)","30   Bs.-/Arroba (@)","Grande","23/12/2011","Santa Cruz"
"Zapallo","Quintalero","Del Valle","2   Bs.-/Kilo","3   Bs.-/Kilo","","23/12/2011","Santa Cruz"
"Acelga","Comun","Los Negros","8   Bs.-/Amarro","10   Bs.-/Amarro","Hoja Grande","22/12/2011","Santa Cruz"
"Achojcha","Comun","Hierba buena","40   Bs.-/Bolsa (2@)","3   Bs.-/3 Libras","Grande","22/12/2011","Santa Cruz"
"Arveja","Verde (en vaina)","San Isidro","100   Bs.-/Bolsa (2@)","7   Bs.-/3 Libras","Vaina grande","22/12/2011","Santa Cruz"
"Azucar","Guabira","Del Norte","270   Bs.-/qq","6   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Azucar","San Aurelio","Del Norte","270   Bs.-/qq","6   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Azucar","Unagro","Del Norte","275   Bs.-/qq","7   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Brocoli","Bola verde","Los Negros","120   Bs.-/Canasta","8   Bs.-/Unidad","Grade","22/12/2011","Santa Cruz"
"Cebolla","Blanca","Peru","280   Bs.-/Bolsa (8@)","35   Bs.-/Arroba (@)","","22/12/2011","Santa Cruz"
"Cebolla","Roja","Cochabamba","176   Bs.-/Bolsa (8@)","24   Bs.-/Arroba (@)","Grande","22/12/2011","Santa Cruz"
"Coliflor","Bola de nieve","Los Negros","150   Bs.-/Canasta","12   Bs.-/Unidad","Grande","22/12/2011","Santa Cruz"
"Durazno","Amarillo","Argentina","200   Bs.-/Caja de 23 Kg","13   Bs.-/Kilo","Grande","22/12/2011","Santa Cruz"
"Durazno","Criollo","Cochabamba","130   Bs.-/Caja de 23 Kg","10   Bs.-/Kilo","Grande","22/12/2011","Santa Cruz"
"Espinaca","Comun","San Isidro","150   Bs.-/Bolsa Grande","12   Bs.-/3 Libras","Hoja Grande","22/12/2011","Santa Cruz"
"Frejol","Carioca","Descon.","225   Bs.-/qq","10   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Frejol","Mantecoso","Descon.","325   Bs.-/qq","12   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Frejol","Negro","Descon.","185   Bs.-/qq","9   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Frutilla","Sweet Charlie","Comarapa","10   Bs.-/Kilo","12   Bs.-/Kilo","Grande","22/12/2011","Santa Cruz"
"Haba","Comun (en vaina)","Cochabamba","45   Bs.-/Bolsa (2@)","3   Bs.-/3 Libras","Mediana","22/12/2011","Santa Cruz"
"Harina","de Maiz amarillo","Del Norte","85   Bs.-/qq","20   Bs.-/Arroba (@)","","22/12/2011","Santa Cruz"
"Harina","de Trigo","Argentina","190   Bs.-/qq","50   Bs.-/Arroba (@)","","22/12/2011","Santa Cruz"
"Harina","Morada","Del Valle","240   Bs.-/qq","70   Bs.-/Arroba (@)","","22/12/2011","Santa Cruz"
"Huevo","Criollo","Santa Cruz","65   Bs.-/100 U.","68   Bs.-/100 U.","","22/12/2011","Santa Cruz"
"Huevo","de Granja","Santa Cruz","60   Bs.-/100 U.","65   Bs.-/100 U.","Grande","22/12/2011","Santa Cruz"
"Lechuga","Crespa","Los Negros","100   Bs.-/Canasta","3   Bs.-/Unidad","Grande","22/12/2011","Santa Cruz"
"Lechuga","Escarola","Los Negros","50   Bs.-/Canasta","2   Bs.-/Unidad","Mediana","22/12/2011","Santa Cruz"
"Lechuga","Morada","Los Negros","90   Bs.-/Canasta","3   Bs.-/Unidad","Mediana","22/12/2011","Santa Cruz"
"Lima","Criolla","Yapacaní","110   Bs.-/100 U.","26   Bs.-/25 U.","Grande","22/12/2011","Santa Cruz"
"Limon","Amarillo","Cruceño","45   Bs.-/100 U.","12   Bs.-/25 U.","Grande","22/12/2011","Santa Cruz"
"Limon","Criollo","Yapacaní","30   Bs.-/100 U.","8   Bs.-/25 U.","Chico","22/12/2011","Santa Cruz"
"Limon","de Licuar","Yapacaní","35   Bs.-/100 U.","8   Bs.-/25 U.","Mediano","22/12/2011","Santa Cruz"
"Locoto","Cochabambino","Los Negros","40   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","22/12/2011","Santa Cruz"
"Maiz","Blanco","Cochabamba","400   Bs.-/qq","12   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Maiz","Blanco pelado","Cochabamba","390   Bs.-/qq","10   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Maiz","Choclo","La Paz","110   Bs.-/100 U.","10   Bs.-/Docena","De primera","22/12/2011","Santa Cruz"
"Maiz","Duro","Cruceño","70   Bs.-/qq","4   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Maiz","Morocho (Culli)","Cochabamba","270   Bs.-/qq","9   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Mani","Overo Desgranado","Cruceño","640   Bs.-/qq","14   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Mani","Overo en vaina","Sucre","790   Bs.-/qq","22   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Mani","Pelado","Cruceño","170   Bs.-/Arroba (@)","16   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Mani","Rojo largo Desgranado","Cruceño","540   Bs.-/qq","12   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Mani","Rojo largo en vaina","Sucre","800   Bs.-/qq","24   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Manzana","Criolla","Vallegrande","80   Bs.-/Arroba (@)","5   Bs.-/Libra","","22/12/2011","Santa Cruz"
"Manzana","Lanin royal","Argentina","240   Bs.-/Caja de 150U.","3   Bs.-/Unidad","Grande","22/12/2011","Santa Cruz"
"Naranja","Criolla","Yapacaní","35   Bs.-/100 U.","9   Bs.-/25 U.","Mediana","22/12/2011","Santa Cruz"
"Oca","Amarilla","Cochabamba","35   Bs.-/Arroba (@)","4   Bs.-/3 Libras","Grande","22/12/2011","Santa Cruz"
"Oca","Negra","Descon.","40   Bs.-/Arroba (@)","5   Bs.-/3 Libras","Grande","22/12/2011","Santa Cruz"
"Papa","Desiree (Holandesa)","Cochabamba","360   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","Grande","22/12/2011","Santa Cruz"
"Papa","Imilla","Cochabamba","140   Bs.-/Bolsa (10@)","18   Bs.-/Arroba (@)","Chico","22/12/2011","Santa Cruz"
"Papa","Waycha (Arinosa)","Cochabamba","360   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","Grande","22/12/2011","Santa Cruz"
"Papaliza","Amarilla","Cochabamba","30   Bs.-/Arroba (@)","4   Bs.-/3 Libras","","22/12/2011","Santa Cruz"
"Pepino","Comun","Los Negros","25   Bs.-/Arroba (@)","3   Bs.-/3 Libras","Mediana","22/12/2011","Santa Cruz"
"Pimenton","4 Puntas","Los Negros","110   Bs.-/Bolsa Grande","10   Bs.-/Docena","Grande","22/12/2011","Santa Cruz"
"Pollo","Criollo","Mairana","11   Bs.-/Kilo","12   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Pollo","Granja","Cruceño","13   Bs.-/Kilo","14   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Repollo","Hibrido","Los Negros","3   Bs.-/Unidad","5   Bs.-/Unidad","","22/12/2011","Santa Cruz"
"Tomate","Manzana","Los Negros","65   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","Grande","22/12/2011","Santa Cruz"
"Tomate","Pera","Los Negros","65   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","Grande Pinton","22/12/2011","Santa Cruz"
"Trigo","Comun","Cochabamba","80   Bs.-/Arroba (@)","8   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Trigo","Pelado o Curtido","Cochabamba","90   Bs.-/Arroba (@)","9   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Vainita","Comun","Los Negros","40   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","22/12/2011","Santa Cruz"
"Yuca","Blanca","Chapare","100   Bs.-/Bolsa (4@)","35   Bs.-/Arroba (@)","Grande","22/12/2011","Santa Cruz"
"Yuca","Rosada","Chapare","100   Bs.-/Bolsa (4@)","35   Bs.-/Arroba (@)","Grande","22/12/2011","Santa Cruz"
"Zanahoria","Chantenay","Cochabamba","180   Bs.-/Bolsa (10@)","28   Bs.-/Arroba (@)","Grande","22/12/2011","Santa Cruz"
"Zapallo","Quintalero","Del Valle","2   Bs.-/Kilo","3   Bs.-/Kilo","","22/12/2011","Santa Cruz"
"Acelga","Comun","Los Negros","8   Bs.-/Amarro","10   Bs.-/Amarro","Hoja Grande","21/12/2011","Santa Cruz"
"Achojcha","Comun","Hierba buena","60   Bs.-/Bolsa (2@)","4   Bs.-/3 Libras","chica","21/12/2011","Santa Cruz"
"Arveja","Verde (en vaina)","San Isidro","60   Bs.-/Bolsa (2@)","7   Bs.-/3 Libras","Vaina grande","21/12/2011","Santa Cruz"
"Azucar","Guabira","Del Norte","270   Bs.-/qq","6   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Azucar","San Aurelio","Del Norte","270   Bs.-/qq","6   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Azucar","Unagro","Del Norte","275   Bs.-/qq","7   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Brocoli","Bola verde","Los Negros","120   Bs.-/Canasta","8   Bs.-/Unidad","Grade","21/12/2011","Santa Cruz"
"Cebolla","Blanca","Peru","280   Bs.-/Bolsa (8@)","35   Bs.-/Arroba (@)","","21/12/2011","Santa Cruz"
"Cebolla","Roja","Cochabamba","176   Bs.-/Bolsa (8@)","24   Bs.-/Arroba (@)","Grande","21/12/2011","Santa Cruz"
"Coliflor","Bola de nieve","Los Negros","150   Bs.-/Canasta","12   Bs.-/Unidad","Grande","21/12/2011","Santa Cruz"
"Durazno","Amarillo","Argentina","200   Bs.-/Caja de 23 Kg","13   Bs.-/Kilo","Grande","21/12/2011","Santa Cruz"
"Durazno","Criollo","Cochabamba","130   Bs.-/Caja de 23 Kg","10   Bs.-/Kilo","Grande","21/12/2011","Santa Cruz"
"Espinaca","Comun","San Isidro","150   Bs.-/Bolsa Grande","12   Bs.-/3 Libras","Hoja Grande","21/12/2011","Santa Cruz"
"Frejol","Carioca","Descon.","225   Bs.-/qq","10   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Frejol","Mantecoso","Descon.","325   Bs.-/qq","12   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Frejol","Negro","Descon.","185   Bs.-/qq","9   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Frutilla","Sweet Charlie","Comarapa","10   Bs.-/Kilo","12   Bs.-/Kilo","Grande","21/12/2011","Santa Cruz"
"Haba","Comun (en vaina)","Cochabamba","45   Bs.-/Bolsa (2@)","3   Bs.-/3 Libras","Mediana","21/12/2011","Santa Cruz"
"Harina","de Maiz amarillo","Del Norte","85   Bs.-/qq","20   Bs.-/Arroba (@)","","21/12/2011","Santa Cruz"
"Harina","de Trigo","Argentina","190   Bs.-/qq","50   Bs.-/Arroba (@)","","21/12/2011","Santa Cruz"
"Harina","Morada","Del Valle","240   Bs.-/qq","70   Bs.-/Arroba (@)","","21/12/2011","Santa Cruz"
"Huevo","Criollo","Santa Cruz","65   Bs.-/100 U.","68   Bs.-/100 U.","","21/12/2011","Santa Cruz"
"Huevo","de Granja","Santa Cruz","60   Bs.-/100 U.","65   Bs.-/100 U.","Grande","21/12/2011","Santa Cruz"
"Lechuga","Crespa","Los Negros","110   Bs.-/Canasta","3   Bs.-/Unidad","Grande","21/12/2011","Santa Cruz"
"Lechuga","Escarola","Los Negros","60   Bs.-/Canasta","2   Bs.-/Unidad","Mediana","21/12/2011","Santa Cruz"
"Lechuga","Morada","Los Negros","90   Bs.-/Canasta","3   Bs.-/Unidad","Mediana","21/12/2011","Santa Cruz"
"Lima","Criolla","Yapacaní","110   Bs.-/100 U.","26   Bs.-/25 U.","Grande","21/12/2011","Santa Cruz"
"Limon","Amarillo","Cruceño","45   Bs.-/100 U.","12   Bs.-/25 U.","Grande","21/12/2011","Santa Cruz"
"Limon","Criollo","Yapacaní","30   Bs.-/100 U.","8   Bs.-/25 U.","Chico","21/12/2011","Santa Cruz"
"Limon","de Licuar","Yapacaní","35   Bs.-/100 U.","8   Bs.-/25 U.","Mediano","21/12/2011","Santa Cruz"
"Locoto","Cochabambino","Los Negros","40   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","21/12/2011","Santa Cruz"
"Maiz","Blanco","Cochabamba","400   Bs.-/qq","12   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Maiz","Blanco pelado","Cochabamba","390   Bs.-/qq","10   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Maiz","Choclo","La Paz","110   Bs.-/100 U.","10   Bs.-/Docena","De primera","21/12/2011","Santa Cruz"
"Maiz","Duro","Cruceño","70   Bs.-/qq","4   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Maiz","Morocho (Culli)","Cochabamba","270   Bs.-/qq","9   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Mani","Overo Desgranado","Cruceño","640   Bs.-/qq","14   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Mani","Overo en vaina","Sucre","790   Bs.-/qq","22   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Mani","Pelado","Cruceño","170   Bs.-/Arroba (@)","16   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Mani","Rojo largo Desgranado","Cruceño","540   Bs.-/qq","12   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Mani","Rojo largo en vaina","Sucre","800   Bs.-/qq","24   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Manzana","Criolla","Vallegrande","80   Bs.-/Arroba (@)","5   Bs.-/Libra","","21/12/2011","Santa Cruz"
"Manzana","Lanin royal","Argentina","240   Bs.-/Caja de 150U.","3   Bs.-/Unidad","Grande","21/12/2011","Santa Cruz"
"Naranja","Criolla","Yapacaní","35   Bs.-/100 U.","9   Bs.-/25 U.","Mediana","21/12/2011","Santa Cruz"
"Oca","Amarilla","Cochabamba","35   Bs.-/Arroba (@)","4   Bs.-/3 Libras","Grande","21/12/2011","Santa Cruz"
"Oca","Negra","Descon.","40   Bs.-/Arroba (@)","5   Bs.-/3 Libras","Grande","21/12/2011","Santa Cruz"
"Papa","Desiree (Holandesa)","Cochabamba","380   Bs.-/Bolsa (10@)","42   Bs.-/Arroba (@)","Grande","21/12/2011","Santa Cruz"
"Papa","Imilla","Cochabamba","140   Bs.-/Bolsa (10@)","18   Bs.-/Arroba (@)","Chico","21/12/2011","Santa Cruz"
"Papa","Waycha (Arinosa)","Cochabamba","380   Bs.-/Bolsa (10@)","42   Bs.-/Arroba (@)","Grande","21/12/2011","Santa Cruz"
"Papaliza","Amarilla","Cochabamba","30   Bs.-/Arroba (@)","4   Bs.-/3 Libras","","21/12/2011","Santa Cruz"
"Pepino","Comun","Los Negros","15   Bs.-/Arroba (@)","2   Bs.-/3 Libras","Mediana","21/12/2011","Santa Cruz"
"Pimenton","4 Puntas","Los Negros","110   Bs.-/Bolsa Grande","10   Bs.-/Docena","Grande","21/12/2011","Santa Cruz"
"Pollo","Criollo","Mairana","11   Bs.-/Kilo","12   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Pollo","Granja","Cruceño","13   Bs.-/Kilo","14   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Repollo","Hibrido","Los Negros","3   Bs.-/Unidad","5   Bs.-/Unidad","","21/12/2011","Santa Cruz"
"Tomate","Manzana","Los Negros","70   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","Grande","21/12/2011","Santa Cruz"
"Tomate","Pera","Los Negros","60   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","Grande Pinton","21/12/2011","Santa Cruz"
"Trigo","Comun","Cochabamba","80   Bs.-/Arroba (@)","8   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Trigo","Pelado o Curtido","Cochabamba","90   Bs.-/Arroba (@)","9   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Vainita","Comun","Los Negros","40   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","21/12/2011","Santa Cruz"
"Yuca","Blanca","Chapare","100   Bs.-/Bolsa (4@)","35   Bs.-/Arroba (@)","Grande","21/12/2011","Santa Cruz"
"Yuca","Rosada","Chapare","100   Bs.-/Bolsa (4@)","35   Bs.-/Arroba (@)","Grande","21/12/2011","Santa Cruz"
"Zanahoria","Chantenay","Cochabamba","320   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","Grande","21/12/2011","Santa Cruz"
"Zapallo","Quintalero","Del Valle","2   Bs.-/Kilo","3   Bs.-/Kilo","","21/12/2011","Santa Cruz"
"Acelga","Comun","Los Negros","8   Bs.-/Amarro","10   Bs.-/Amarro","Hoja Grande","20/12/2011","Santa Cruz"
"Achojcha","Comun","Hierba buena","55   Bs.-/Bolsa (2@)","4   Bs.-/3 Libras","chica","20/12/2011","Santa Cruz"
"Arveja","Verde (en vaina)","San Isidro","60   Bs.-/Bolsa (2@)","7   Bs.-/3 Libras","Vaina grande","20/12/2011","Santa Cruz"
"Azucar","Guabira","Del Norte","270   Bs.-/qq","6   Bs.-/Kilo","","20/12/2011","Santa Cruz"
"Azucar","San Aurelio","Del Norte","270   Bs.-/qq","6   Bs.-/Kilo","","20/12/2011","Santa Cruz"
"Azucar","Unagro","Del Norte","275   Bs.-/qq","7   Bs.-/Kilo","","20/12/2011","Santa Cruz"
"Brocoli","Bola verde","Los Negros","120   Bs.-/Canasta","8   Bs.-/Unidad","Grade","20/12/2011","Santa Cruz"
"Cebolla","Blanca","Peru","280   Bs.-/Bolsa (8@)","35   Bs.-/Arroba (@)","","20/12/2011","Santa Cruz"
"Cebolla","Roja","Cochabamba","176   Bs.-/Bolsa (8@)","24   Bs.-/Arroba (@)","Grande","20/12/2011","Santa Cruz"
"Coliflor","Bola de nieve","Los Negros","150   Bs.-/Canasta","12   Bs.-/Unidad","Grande","20/12/2011","Santa Cruz"
"Durazno","Amarillo","Argentina","200   Bs.-/Caja de 23 Kg","13   Bs.-/Kilo","Grande","20/12/2011","Santa Cruz"
"Durazno","Criollo","Cochabamba","130   Bs.-/Caja de 23 Kg","10   Bs.-/Kilo","Grande","20/12/2011","Santa Cruz"
"Espinaca","Comun","San Isidro","150   Bs.-/Bolsa Grande","12   Bs.-/3 Libras","Hoja Grande","20/12/2011","Santa Cruz"
"Frejol","Carioca","Descon.","225   Bs.-/qq","10   Bs.-/Kilo","","20/12/2011","Santa Cruz"
"Frejol","Mantecoso","Descon.","325   Bs.-/qq","12   Bs.-/Kilo","","20/12/2011","Santa Cruz"
"Frejol","Negro","Descon.","185   Bs.-/qq","9   Bs.-/Kilo","","20/12/2011","Santa Cruz"
"Frutilla","Sweet Charlie","Comarapa","10   Bs.-/Kilo","12   Bs.-/Kilo","Grande","20/12/2011","Santa Cruz"
"Haba","Comun (en vaina)","Cochabamba","45   Bs.-/Bolsa (2@)","3   Bs.-/3 Libras","Mediana","20/12/2011","Santa Cruz"
"Harina","de Maiz amarillo","Del Norte","85   Bs.-/qq","20   Bs.-/Arroba (@)","","20/12/2011","Santa Cruz"
"Harina","de Trigo","Argentina","190   Bs.-/qq","50   Bs.-/Arroba (@)","","20/12/2011","Santa Cruz"
"Harina","Morada","Del Valle","240   Bs.-/qq","70   Bs.-/Arroba (@)","","20/12/2011","Santa Cruz"
"Huevo","Criollo","Santa Cruz","65   Bs.-/100 U.","68   Bs.-/100 U.","","20/12/2011","Santa Cruz"
