"Mercado","producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha"
"Trinidad","Pepino","Comun","Los Negros","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo campesino","31/03/2009"
"Trinidad","Pimenton","4 Puntas","Los Negros","0   Bs.-/Bolsa Grande","10   Bs.-/Docena","mdo campesino","31/03/2009"
"Trinidad","Pollo","Granja","Cruceño","0   Bs.-/Kilo","14   Bs.-/Kilo","mdo campesino","31/03/2009"
"Trinidad","Pollo","Granja","Mairana","0   Bs.-/Kilo","12   Bs.-/Kilo","mdo campesino","31/03/2009"
"Trinidad","Repollo","Hibrido","Los Negros","0   Bs.-/Unidad","8   Bs.-/Unidad","mdo campesino","31/03/2009"
"Trinidad","Tomate","Manzana","Los Negros","0   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","mdo campesino","31/03/2009"
"Trinidad","Tomate","Pera","Los Negros","0   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","mdo campesino","31/03/2009"
"Trinidad","Trigo","Comun","Cochabamba","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","mdo campesino","31/03/2009"
"Trinidad","Vainita","Comun","Los Negros","0   Bs.-/Arroba (@)","12   Bs.-/3 Libras","mdo campesino","31/03/2009"
"Trinidad","Zanahoria","Chantenay","Los Negros","0   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","mdo campesino","31/03/2009"
"Trinidad","Zapallo","Quintalero","Valles Cruceños","0   Bs.-/qq","2   Bs.-/Kilo","mdo campesino","31/03/2009"
"Trinidad","Acelga","Comun","Los Negros","0   Bs.-/Amarro","12   Bs.-/Amarro","mdo pompeya tdd","30/03/2009"
"Trinidad","Achojcha","Comun","Los Negros","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","mdo pompeya tdd","30/03/2009"
"Trinidad","Arveja","Verde (en vaina)","Comarapa","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","mdo pompeya tdd","30/03/2009"
"Trinidad","Brocoli","Bola verde","Los Negros","0   Bs.-/Canasta","6   Bs.-/Unidad","mdo pompeya tdd","30/03/2009"
"Trinidad","Cebolla","Roja","Cochabamba","0   Bs.-/Bolsa (8@)","38   Bs.-/Arroba (@)","mdo pompeya tdd","30/03/2009"
"Trinidad","Coliflor","Bola de nieve","Los Negros","0   Bs.-/Canasta","8   Bs.-/Unidad","mdo pompeya tdd","30/03/2009"
"Trinidad","Durazno","Amarillo","Tarija","0   Bs.-/Caja de 23 Kg","15   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Frejol","Carioca","Valles Cruceños","0   Bs.-/qq","8   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Frejol","Mantecoso","Cochabamba","0   Bs.-/qq","10   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Frejol","Negro","Cochabamba","0   Bs.-/qq","10   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Haba","Comun (en vaina)","Cochabamba","0   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","mdo pompeya tdd","30/03/2009"
"Trinidad","Huevo","de Granja","San juan","0   Bs.-/100 U.","55   Bs.-/100 U.","mdo pompeya tdd","30/03/2009"
"Trinidad","Lechuga","Crespa","Los Negros","0   Bs.-/Canasta","10   Bs.-/Unidad","mdo pompeya tdd","30/03/2009"
"Trinidad","Lechuga","Escarola","Los Negros","0   Bs.-/Canasta","5   Bs.-/Unidad","mdo pompeya tdd","30/03/2009"
"Trinidad","Lima","Criolla","Comarapa","0   Bs.-/100 U.","8   Bs.-/25 U.","mdo pompeya tdd","30/03/2009"
"Trinidad","Limon","Amarillo","Cruceño","0   Bs.-/100 U.","6   Bs.-/25 U.","mdo pompeya tdd","30/03/2009"
"Trinidad","Locoto","Cochabambino","Los Negros","0   Bs.-/Arroba (@)","12   Bs.-/3 Libras","mdo pompeya tdd","30/03/2009"
"Trinidad","Maiz","Blanco","Cochabamba","0   Bs.-/qq","7   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Maiz","Choclo","Cochabamba","0   Bs.-/100 U.","24   Bs.-/Docena","mdo pompeya tdd","30/03/2009"
"Trinidad","Maiz","Duro","Valles Cruceños","0   Bs.-/qq","2   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Maiz","Morocho (Culli)","Valles Cruceños","0   Bs.-/qq","5   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Mandarina","Japonesa","No determinado","0   Bs.-/100 U.","13   Bs.-/25 U.","mdo pompeya tdd","30/03/2009"
"Trinidad","Mani","Pelado","Valles Cruceños","0   Bs.-/Arroba (@)","18   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Mani","Rojo largo Desgranado","Valles Cruceños","0   Bs.-/qq","15   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Manzana","Criolla","Vallegrande","0   Bs.-/Arroba (@)","1   Bs.-/Libra","mdo pompeya tdd","30/03/2009"
"Trinidad","Manzana","Lanin royal","Argentina","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","mdo pompeya tdd","30/03/2009"
"Trinidad","Papa","Romano","Saipina","0   Bs.-/Bolsa (10@)","42   Bs.-/Arroba (@)","mdo pompeya tdd","30/03/2009"
"Trinidad","Papa","Waycha (Arinosa)","Chapare","0   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","mdo pompeya tdd","30/03/2009"
"Trinidad","Papaliza","Amarilla","Cochabamba","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo pompeya tdd","30/03/2009"
"Trinidad","Pepino","Comun","Los Negros","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo pompeya tdd","30/03/2009"
"Trinidad","Pimenton","4 Puntas","Los Negros","0   Bs.-/Bolsa Grande","15   Bs.-/Docena","mdo pompeya tdd","30/03/2009"
"Trinidad","Pollo","Criollo","San juan","0   Bs.-/Kilo","25   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Pollo","Granja","Cruceño","0   Bs.-/Kilo","13   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Pollo","Granja","Mairana","0   Bs.-/Kilo","12   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Repollo","Hibrido","Los Negros","0   Bs.-/Unidad","8   Bs.-/Unidad","mdo pompeya tdd","30/03/2009"
"Trinidad","Tomate","Manzana","Los Negros","0   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Tomate","Pera","Los Negros","0   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Trigo","Comun","Cochabamba","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Vainita","Comun","Los Negros","0   Bs.-/Arroba (@)","12   Bs.-/3 Libras","mdo pompeya tdd","30/03/2009"
"Trinidad","Zanahoria","Chantenay","Los Negros","0   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","mdo pompeya tdd","30/03/2009"
"Trinidad","Zapallo","Quintalero","Valles Cruceños","0   Bs.-/qq","3   Bs.-/Kilo","mdo pompeya tdd","30/03/2009"
"Trinidad","Acelga","Comun","Los Negros","0   Bs.-/Amarro","15   Bs.-/Amarro","mdo pompeya","28/03/2009"
"Trinidad","Achojcha","Comun","Los Negros","0   Bs.-/Bolsa (2@)","9   Bs.-/3 Libras","mdo pompeya","28/03/2009"
"Trinidad","Arveja","Verde (en vaina)","Comarapa","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","mdo pompeya","28/03/2009"
"Trinidad","Brocoli","Bola verde","Los Negros","0   Bs.-/Canasta","8   Bs.-/Unidad","mdo pompeya","28/03/2009"
"Trinidad","Cebolla","Roja","Cochabamba","0   Bs.-/Bolsa (8@)","40   Bs.-/Arroba (@)","mdo pompeya","28/03/2009"
"Trinidad","Durazno","Amarillo","Tarija","0   Bs.-/Caja de 23 Kg","12   Bs.-/Kilo","mdo pompeya","28/03/2009"
"Trinidad","Frejol","Carioca","Valles Cruceños","0   Bs.-/qq","10   Bs.-/Kilo","mdo pompeya","28/03/2009"
"Trinidad","Frejol","Mantecoso","Cochabamba","0   Bs.-/qq","10   Bs.-/Kilo","mdo pompeya","28/03/2009"
"Trinidad","Frejol","Negro","Cochabamba","0   Bs.-/qq","10   Bs.-/Kilo","mdo pompeya","28/03/2009"
"Trinidad","Haba","Comun (en vaina)","Cochabamba","0   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","mdo pompeya","28/03/2009"
"Trinidad","Huevo","de Granja","San juan","0   Bs.-/100 U.","50   Bs.-/100 U.","huevo de sengunda calidad","28/03/2009"
"Trinidad","Lechuga","Crespa","Los Negros","0   Bs.-/Canasta","10   Bs.-/Unidad","mdo pompeya","28/03/2009"
"Trinidad","Lechuga","Escarola","Los Negros","0   Bs.-/Canasta","5   Bs.-/Unidad","mdo pompeya","28/03/2009"
"Trinidad","Lima","Criolla","Comarapa","0   Bs.-/100 U.","8   Bs.-/25 U.","mdo pompeya","28/03/2009"
"Trinidad","Limon","Amarillo","Cruceño","0   Bs.-/100 U.","6   Bs.-/25 U.","mdo pompeya","28/03/2009"
"Trinidad","Locoto","Cochabambino","Los Negros","0   Bs.-/Arroba (@)","12   Bs.-/3 Libras","mdo pompeya","28/03/2009"
"Trinidad","Maiz","Blanco","Cochabamba","0   Bs.-/qq","7   Bs.-/Kilo","mdo pompeya","28/03/2009"
"Trinidad","Maiz","Choclo","Cochabamba","0   Bs.-/100 U.","2   Bs.-/Docena","mdo pompeya","28/03/2009"
"Trinidad","Maiz","Duro","Valles Cruceños","0   Bs.-/qq","3   Bs.-/Kilo","mdo pompeya","28/03/2009"
"Trinidad","Mandarina","Japonesa","No determinado","0   Bs.-/100 U.","13   Bs.-/25 U.","mdo pompeya","28/03/2009"
"Trinidad","Mani","Pelado","Valles Cruceños","0   Bs.-/Arroba (@)","18   Bs.-/Kilo","mdo pompeya","28/03/2009"
"Trinidad","Mani","Rojo largo Desgranado","Valles Cruceños","0   Bs.-/qq","15   Bs.-/Kilo","mdo pompeya","28/03/2009"
"Trinidad","Manzana","Lanin royal","Argentina","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","tres manzana por Bs cinco","28/03/2009"
"Trinidad","Papa","Romano","Saipina","0   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","mdo pompeya","28/03/2009"
"Trinidad","Papa","Waycha (Arinosa)","Chapare","0   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","llegó verduras(mdo pompeya)","28/03/2009"
"Trinidad","Papaliza","Amarilla","Cochabamba","0   Bs.-/Arroba (@)","9   Bs.-/3 Libras","mdo pompeya","28/03/2009"
"Trinidad","Pepino","Comun","Los Negros","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo pompeya","28/03/2009"
"Trinidad","Pimenton","4 Puntas","Los Negros","0   Bs.-/Bolsa Grande","10   Bs.-/Docena","mdo pompeya","28/03/2009"
"Trinidad","Pollo","Criollo","San juan","0   Bs.-/Kilo","25   Bs.-/Kilo","mdo pompeya","28/03/2009"
"Trinidad","Pollo","Granja","Cruceño","0   Bs.-/Kilo","13   Bs.-/Kilo","mdo pompeya","28/03/2009"
"Trinidad","Pollo","Granja","Mairana","0   Bs.-/Kilo","12   Bs.-/Kilo","mdo pompeya","28/03/2009"
"Trinidad","Repollo","Hibrido","Los Negros","0   Bs.-/Unidad","8   Bs.-/Unidad","mdo pompeya","28/03/2009"
"Trinidad","Tomate","Manzana","Los Negros","0   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","mdo pompeya","28/03/2009"
"Trinidad","Tomate","Pera","Los Negros","0   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","mdo pompeya","28/03/2009"
"Trinidad","Trigo","Comun","Cochabamba","0   Bs.-/Arroba (@)","10   Bs.-/Kilo","mdo pompeya","28/03/2009"
"Trinidad","Vainita","Comun","Los Negros","0   Bs.-/Arroba (@)","9   Bs.-/3 Libras","mdo pompeya","28/03/2009"
"Trinidad","Zanahoria","Chantenay","Los Negros","0   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","mdo pompeya","28/03/2009"
"Trinidad","Zapallo","Quintalero","Valles Cruceños","0   Bs.-/qq","3   Bs.-/Kilo","mdo pompeya","28/03/2009"
"Trinidad","Acelga","Comun","Los Negros","0   Bs.-/Amarro","12   Bs.-/Amarro","mdo campesino  Tdd","27/03/2009"
"Trinidad","Achojcha","Comun","Los Negros","0   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","mdo campesino  Tdd","27/03/2009"
"Trinidad","Arveja","Verde (en vaina)","Comarapa","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","mdo campesino  Tdd","27/03/2009"
"Trinidad","Cebolla","Roja","Cochabamba","0   Bs.-/Bolsa (8@)","38   Bs.-/Arroba (@)","mdo campesino  Tdd","27/03/2009"
"Trinidad","Frejol","Carioca","Valles Cruceños","0   Bs.-/qq","8   Bs.-/Kilo","mdo campesino  Tdd","27/03/2009"
"Trinidad","Haba","Comun (en vaina)","Cochabamba","0   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","mdo campesino  Tdd","27/03/2009"
"Trinidad","Huevo","Criollo","Valles Cruceños","0   Bs.-/100 U.","100   Bs.-/100 U.","mdo campesino  Tdd","27/03/2009"
"Trinidad","Huevo","de Granja","San juan","0   Bs.-/100 U.","50   Bs.-/100 U.","mdo campesino  Tdd","27/03/2009"
"Trinidad","Lechuga","Crespa","Los Negros","0   Bs.-/Canasta","10   Bs.-/Unidad","mdo campesino  Tdd","27/03/2009"
"Trinidad","Lechuga","Escarola","Los Negros","0   Bs.-/Canasta","5   Bs.-/Unidad","mdo campesino  Tdd","27/03/2009"
"Trinidad","Lima","Criolla","Comarapa","0   Bs.-/100 U.","8   Bs.-/25 U.","mdo campesino  Tdd","27/03/2009"
"Trinidad","Limon","Amarillo","Cruceño","0   Bs.-/100 U.","6   Bs.-/25 U.","mdo campesino  Tdd","27/03/2009"
"Trinidad","Locoto","Cochabambino","Los Negros","0   Bs.-/Arroba (@)","12   Bs.-/3 Libras","mdo campesino  Tdd","27/03/2009"
"Trinidad","Maiz","Blanco pelado","Cochabamba","0   Bs.-/qq","7   Bs.-/Kilo","mdo campesino  Tdd","27/03/2009"
"Trinidad","Maiz","Choclo","Cochabamba","0   Bs.-/100 U.","2   Bs.-/Docena","mdo campesino  Tdd","27/03/2009"
"Trinidad","Maiz","Duro","Valles Cruceños","0   Bs.-/qq","4   Bs.-/Kilo","mdo campesino  Tdd","27/03/2009"
"Trinidad","Mandarina","Criolla","No determinado","0   Bs.-/100 U.","8   Bs.-/25 U.","mdo campesino  Tdd","27/03/2009"
"Trinidad","Mandarina","Japonesa","No determinado","0   Bs.-/100 U.","13   Bs.-/25 U.","mdo campesino  Tdd","27/03/2009"
"Trinidad","Mani","Rojo largo Desgranado","Valles Cruceños","0   Bs.-/qq","16   Bs.-/Kilo","mdo campesino  Tdd","27/03/2009"
"Trinidad","Manzana","Lanin royal","Argentina","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","mdo campesino  Tdd","27/03/2009"
"Trinidad","Papa","Romano","Saipina","0   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","mdo campesino  Tdd","27/03/2009"
"Trinidad","Papa","Waycha (Arinosa)","Chapare","0   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","sabado se provee de verduras","27/03/2009"
"Trinidad","Papaliza","Amarilla","Cochabamba","0   Bs.-/Arroba (@)","9   Bs.-/3 Libras","mdo campesino  Tdd","27/03/2009"
"Trinidad","Pepino","Comun","Los Negros","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo campesino  Tdd","27/03/2009"
"Trinidad","Pimenton","4 Puntas","Los Negros","0   Bs.-/Bolsa Grande","10   Bs.-/Docena","mdo campesino  Tdd","27/03/2009"
"Trinidad","Pollo","Granja","Cruceño","0   Bs.-/Kilo","12   Bs.-/Kilo","mdo campesino  Tdd","27/03/2009"
"Trinidad","Pollo","Granja","Mairana","0   Bs.-/Kilo","12   Bs.-/Kilo","mdo campesino  Tdd","27/03/2009"
"Trinidad","Repollo","Hibrido","Los Negros","0   Bs.-/Unidad","8   Bs.-/Unidad","mdo campesino  Tdd","27/03/2009"
"Trinidad","Tomate","Manzana","Los Negros","0   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","mdo campesino  Tdd","27/03/2009"
"Trinidad","Tomate","Pera","Los Negros","0   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","mdo campesino  Tdd","27/03/2009"
"Trinidad","Trigo","Comun","Cochabamba","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","mdo campesino  Tdd","27/03/2009"
"Trinidad","Trigo","Pelado o Curtido","Cochabamba","0   Bs.-/Arroba (@)","9   Bs.-/Kilo","mdo campesino  Tdd","27/03/2009"
"Trinidad","Vainita","Comun","Los Negros","0   Bs.-/Arroba (@)","9   Bs.-/3 Libras","mdo campesino  Tdd","27/03/2009"
"Trinidad","Zanahoria","Chantenay","Los Negros","0   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","mdo campesino  Tdd","27/03/2009"
"Trinidad","Zapallo","Quintalero","Valles Cruceños","0   Bs.-/qq","2   Bs.-/Kilo","mdo campesino  Tdd","27/03/2009"
"Trinidad","Acelga","Comun","Los Negros","0   Bs.-/Amarro","12   Bs.-/Amarro","mdo pompeya","26/03/2009"
"Trinidad","Achojcha","Comun","Los Negros","0   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","mdo pompeya","26/03/2009"
"Trinidad","Arveja","Verde (en vaina)","Comarapa","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","mdo pompeya","26/03/2009"
"Trinidad","Brocoli","Bola verde","Los Negros","0   Bs.-/Canasta","8   Bs.-/Unidad","mdo pompeya","26/03/2009"
"Trinidad","Cebolla","Roja","Cochabamba","0   Bs.-/Bolsa (8@)","40   Bs.-/Arroba (@)","mdo pompeya","26/03/2009"
"Trinidad","Coliflor","Bola de nieve","Los Negros","0   Bs.-/Canasta","6   Bs.-/Unidad","mdo pompeya","26/03/2009"
"Trinidad","Durazno","Amarillo","Tarija","0   Bs.-/Caja de 23 Kg","12   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Frejol","Carioca","Valles Cruceños","0   Bs.-/qq","8   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Frejol","Mantecoso","Cochabamba","0   Bs.-/qq","10   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Frejol","Negro","Cochabamba","0   Bs.-/qq","10   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Haba","Comun (en vaina)","Cochabamba","0   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","mdo pompeya","26/03/2009"
"Trinidad","Huevo","de Granja","San juan","0   Bs.-/100 U.","50   Bs.-/100 U.","huevo de segunda","26/03/2009"
"Trinidad","Lechuga","Crespa","Los Negros","0   Bs.-/Canasta","10   Bs.-/Unidad","mdo pompeya","26/03/2009"
"Trinidad","Lechuga","Escarola","Los Negros","0   Bs.-/Canasta","5   Bs.-/Unidad","mdo pompeya","26/03/2009"
"Trinidad","Lima","Criolla","Comarapa","0   Bs.-/100 U.","8   Bs.-/25 U.","mdo pompeya","26/03/2009"
"Trinidad","Limon","Amarillo","Cruceño","0   Bs.-/100 U.","6   Bs.-/25 U.","mdo pompeya","26/03/2009"
"Trinidad","Locoto","Cochabambino","Los Negros","0   Bs.-/Arroba (@)","12   Bs.-/3 Libras","mdo pompeya","26/03/2009"
"Trinidad","Maiz","Blanco","Cochabamba","0   Bs.-/qq","7   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Maiz","Blanco pelado","Cochabamba","0   Bs.-/qq","8   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Maiz","Choclo","Cochabamba","0   Bs.-/100 U.","2   Bs.-/Docena","mdo pompeya","26/03/2009"
"Trinidad","Maiz","Duro","Valles Cruceños","0   Bs.-/qq","3   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Mandarina","Japonesa","No determinado","0   Bs.-/100 U.","13   Bs.-/25 U.","mdo pompeya","26/03/2009"
"Trinidad","Mani","Pelado","Valles Cruceños","0   Bs.-/Arroba (@)","18   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Mani","Rojo largo Desgranado","Valles Cruceños","0   Bs.-/qq","16   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Manzana","Lanin royal","Argentina","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","mdo pompeya","26/03/2009"
"Trinidad","Papa","Romano","Saipina","0   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","mdo pompeya","26/03/2009"
"Trinidad","Papa","Waycha (Arinosa)","Chapare","0   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","mdo pompeya","26/03/2009"
"Trinidad","Papaliza","Amarilla","Cochabamba","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo pompeya","26/03/2009"
"Trinidad","Pepino","Comun","Los Negros","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo pompeya","26/03/2009"
"Trinidad","Pimenton","4 Puntas","Los Negros","0   Bs.-/Bolsa Grande","10   Bs.-/Docena","mdo pompeya","26/03/2009"
"Trinidad","Pollo","Criollo","San juan","0   Bs.-/Kilo","25   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Pollo","Granja","Cruceño","0   Bs.-/Kilo","12   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Pollo","Granja","Mairana","0   Bs.-/Kilo","12   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Repollo","Hibrido","Los Negros","0   Bs.-/Unidad","5   Bs.-/Unidad","mdo pompeya","26/03/2009"
"Trinidad","Tomate","Manzana","Los Negros","0   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Tomate","Pera","Los Negros","0   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Trigo","Comun","Cochabamba","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Trigo","Pelado o Curtido","Cochabamba","0   Bs.-/Arroba (@)","9   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Vainita","Comun","Los Negros","0   Bs.-/Arroba (@)","9   Bs.-/3 Libras","mdo pompeya","26/03/2009"
"Trinidad","Zanahoria","Chantenay","Los Negros","0   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","mdo pompeya","26/03/2009"
"Trinidad","Zapallo","Quintalero","Valles Cruceños","0   Bs.-/qq","3   Bs.-/Kilo","mdo pompeya","26/03/2009"
"Trinidad","Acelga","Comun","Los Negros","0   Bs.-/Amarro","12   Bs.-/Amarro","mercado campesino","25/03/2009"
"Trinidad","Achojcha","Comun","Los Negros","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","mercado campesino","25/03/2009"
"Trinidad","Arveja","Verde (en vaina)","Comarapa","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","mercado campesino","25/03/2009"
"Trinidad","Brocoli","Bola verde","Los Negros","0   Bs.-/Canasta","6   Bs.-/Unidad","mercado campesino","25/03/2009"
"Trinidad","Cebolla","Roja","Cochabamba","0   Bs.-/Bolsa (8@)","35   Bs.-/Arroba (@)","mercado campesino","25/03/2009"
"Trinidad","Coliflor","Bola de nieve","Los Negros","0   Bs.-/Canasta","8   Bs.-/Unidad","mercado campesino","25/03/2009"
"Trinidad","Durazno","Amarillo","Tarija","0   Bs.-/Caja de 23 Kg","12   Bs.-/Kilo","mercado campesino","25/03/2009"
"Trinidad","Frejol","Carioca","Valles Cruceños","0   Bs.-/qq","8   Bs.-/Kilo","mercado campesino","25/03/2009"
"Trinidad","Haba","Comun (en vaina)","Cochabamba","0   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","mercado campesino","25/03/2009"
"Trinidad","Huevo","Criollo","Valles Cruceños","0   Bs.-/100 U.","100   Bs.-/100 U.","mercado campesino","25/03/2009"
"Trinidad","Huevo","de Granja","San juan","0   Bs.-/100 U.","48   Bs.-/100 U.","mercado campesino","25/03/2009"
"Trinidad","Lechuga","Crespa","Los Negros","0   Bs.-/Canasta","5   Bs.-/Unidad","mercado campesino","25/03/2009"
"Trinidad","Lechuga","Escarola","Los Negros","0   Bs.-/Canasta","5   Bs.-/Unidad","mercado campesino","25/03/2009"
"Trinidad","Lima","Criolla","Comarapa","0   Bs.-/100 U.","8   Bs.-/25 U.","mercado campesino","25/03/2009"
"Trinidad","Limon","Amarillo","Cruceño","0   Bs.-/100 U.","6   Bs.-/25 U.","mercado campesino","25/03/2009"
"Trinidad","Locoto","Cochabambino","Los Negros","0   Bs.-/Arroba (@)","12   Bs.-/3 Libras","mercado campesino","25/03/2009"
"Trinidad","Maiz","Blanco pelado","Cochabamba","0   Bs.-/qq","7   Bs.-/Kilo","mercado campesino","25/03/2009"
"Trinidad","Maiz","Choclo","Cochabamba","0   Bs.-/100 U.","2   Bs.-/Docena","mercado campesino","25/03/2009"
"Trinidad","Maiz","Duro","Valles Cruceños","0   Bs.-/qq","2   Bs.-/Kilo","mercado campesino","25/03/2009"
"Trinidad","Mandarina","Japonesa","No determinado","0   Bs.-/100 U.","13   Bs.-/25 U.","mercado campesino","25/03/2009"
"Trinidad","Mani","Rojo largo Desgranado","Valles Cruceños","0   Bs.-/qq","16   Bs.-/Kilo","mercado campesino","25/03/2009"
"Trinidad","Manzana","Lanin royal","Argentina","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","mercado campesino","25/03/2009"
"Trinidad","Papa","Romano","Saipina","0   Bs.-/Bolsa (10@)","38   Bs.-/Arroba (@)","mercado campesino","25/03/2009"
"Trinidad","Papa","Waycha (Arinosa)","Chapare","0   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","mercado campesino","25/03/2009"
"Trinidad","Papaliza","Amarilla","Cochabamba","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mercado campesino","25/03/2009"
"Trinidad","Pepino","Comun","Los Negros","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mercado campesino","25/03/2009"
"Trinidad","Pimenton","4 Puntas","Los Negros","0   Bs.-/Bolsa Grande","8   Bs.-/Docena","mercado campesino","25/03/2009"
"Trinidad","Pollo","Granja","Cruceño","0   Bs.-/Kilo","14   Bs.-/Kilo","mercado campesino","25/03/2009"
"Trinidad","Pollo","Granja","Mairana","0   Bs.-/Kilo","13   Bs.-/Kilo","mercado campesino","25/03/2009"
"Trinidad","Repollo","Hibrido","Los Negros","0   Bs.-/Unidad","5   Bs.-/Unidad","mercado campesino","25/03/2009"
"Trinidad","Tomate","Manzana","Los Negros","0   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","mercado campesino","25/03/2009"
"Trinidad","Tomate","Pera","Los Negros","0   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","mercado campesino","25/03/2009"
"Trinidad","Trigo","Comun","Cochabamba","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","mercado campesino","25/03/2009"
"Trinidad","Vainita","Comun","Los Negros","0   Bs.-/Arroba (@)","9   Bs.-/3 Libras","mercado campesino","25/03/2009"
