"producto","variedad","Precio Mayorista","Precio Minorista","Procedencia","observaciones","fecha","Mercado"
"Frejol","Mantecoso","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","14/04/2015","Trinidad"
"Frejol","Negro","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","14/04/2015","Trinidad"
"Frutilla","Sweet Charlie","0   Bs.-/Kilo","20   Bs.-/Kilo","Santa Cruz","","14/04/2015","Trinidad"
"Haba","Comun (en vaina)","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Santa Cruz","","14/04/2015","Trinidad"
"Harina","de Maiz amarillo","0   Bs.-/qq","40   Bs.-/Arroba (@)","Santa Cruz","","14/04/2015","Trinidad"
"Harina","de Trigo","0   Bs.-/qq","83   Bs.-/Arroba (@)","Santa Cruz","","14/04/2015","Trinidad"
"Huevo","Criollo","0   Bs.-/100 U.","100   Bs.-/100 U.","Beni","","14/04/2015","Trinidad"
"Huevo","de Granja","0   Bs.-/100 U.","60   Bs.-/100 U.","Santa Cruz","","14/04/2015","Trinidad"
"Lechuga","Crespa","0   Bs.-/Canasta","3   Bs.-/Unidad","Santa Cruz","","14/04/2015","Trinidad"
"Lechuga","Escarola","0   Bs.-/Canasta","5   Bs.-/Unidad","Santa Cruz","","14/04/2015","Trinidad"
"Lima","Criolla","0   Bs.-/100 U.","15   Bs.-/25 U.","Beni","","14/04/2015","Trinidad"
"Limon","Amarillo","0   Bs.-/100 U.","8   Bs.-/25 U.","Beni","","14/04/2015","Trinidad"
"Limon","Criollo","0   Bs.-/100 U.","8   Bs.-/25 U.","Santa Cruz","","14/04/2015","Trinidad"
"Limon","de Licuar","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","14/04/2015","Trinidad"
"Locoto","Cochabambino","0   Bs.-/Arroba (@)","8   Bs.-/3 Libras","Santa Cruz","","14/04/2015","Trinidad"
"Maiz","Blanco","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","14/04/2015","Trinidad"
"Maiz","Choclo","0   Bs.-/100 U.","20   Bs.-/Docena","Beni","mediano","14/04/2015","Trinidad"
"Maiz","Duro","0   Bs.-/qq","4   Bs.-/Kilo","Santa Cruz","","14/04/2015","Trinidad"
"Maiz","Morocho (Culli)","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","14/04/2015","Trinidad"
"Mandarina","Japonesa","0   Bs.-/100 U.","18   Bs.-/25 U.","Santa Cruz","","14/04/2015","Trinidad"
"Mani","Pelado","0   Bs.-/Arroba (@)","20   Bs.-/Kilo","Santa Cruz","","14/04/2015","Trinidad"
"Manzana","Lanin royal","0   Bs.-/Caja de 150U.","3   Bs.-/Unidad","Santa Cruz","","14/04/2015","Trinidad"
"Naranja","Criolla","0   Bs.-/100 U.","18   Bs.-/25 U.","Santa Cruz","","14/04/2015","Trinidad"
"Oca","Amarilla","0   Bs.-/Arroba (@)","4   Bs.-/3 Libras","Santa Cruz","","14/04/2015","Trinidad"
"Papa","Desiree (Holandesa)","0   Bs.-/Bolsa (10@)","55   Bs.-/Arroba (@)","Santa Cruz","","14/04/2015","Trinidad"
"Papa","Waycha (Arinosa)","0   Bs.-/Bolsa (10@)","60   Bs.-/Arroba (@)","Santa Cruz","","14/04/2015","Trinidad"
"Papaliza","Amarilla","0   Bs.-/Arroba (@)","4   Bs.-/3 Libras","Santa Cruz","","14/04/2015","Trinidad"
"Pepino","Comun","0   Bs.-/Arroba (@)","2   Bs.-/3 Libras","Santa Cruz","","14/04/2015","Trinidad"
"Pimenton","4 Puntas","0   Bs.-/Bolsa Grande","24   Bs.-/Docena","Santa Cruz","","14/04/2015","Trinidad"
"Pollo","Criollo","0   Bs.-/Kilo","30   Bs.-/Kilo","Santa Cruz","completo","14/04/2015","Trinidad"
"Pollo","Granja","0   Bs.-/Kilo","14   Bs.-/Kilo","Santa Cruz","sofia","14/04/2015","Trinidad"
"Repollo","Hibrido","0   Bs.-/Unidad","10   Bs.-/Unidad","Santa Cruz","grande","14/04/2015","Trinidad"
"Tomate","Manzana","0   Bs.-/Caja de 18 Kg","8   Bs.-/Kilo","Santa Cruz","","14/04/2015","Trinidad"
"Tomate","Pera","0   Bs.-/Caja de 18 Kg","6   Bs.-/Kilo","Santa Cruz","","14/04/2015","Trinidad"
"Trigo","Comun","0   Bs.-/Arroba (@)","10   Bs.-/Kilo","Santa Cruz","","14/04/2015","Trinidad"
"Vainita","Comun","0   Bs.-/Arroba (@)","8   Bs.-/3 Libras","Santa Cruz","","14/04/2015","Trinidad"
"Yuca","Blanca","0   Bs.-/Bolsa (4@)","60   Bs.-/Arroba (@)","Beni","","14/04/2015","Trinidad"
"Zanahoria","Chantenay","0   Bs.-/Bolsa (10@)","60   Bs.-/Arroba (@)","Santa Cruz","","14/04/2015","Trinidad"
"Zapallo","Quintalero","0   Bs.-/Kilo","4   Bs.-/Kilo","Santa Cruz","","14/04/2015","Trinidad"
"Acelga","Comun","0   Bs.-/Amarro","20   Bs.-/Amarro","Santa Cruz","","13/04/2015","Trinidad"
"Achojcha","Comun","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Santa Cruz","","13/04/2015","Trinidad"
"Arveja","Verde (en vaina)","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","Santa Cruz","","13/04/2015","Trinidad"
"Azucar","Guabira","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","13/04/2015","Trinidad"
"Azucar","San Aurelio","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","13/04/2015","Trinidad"
"Azucar","Unagro","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","13/04/2015","Trinidad"
"Brocoli","Bola verde","0   Bs.-/Canasta","8   Bs.-/Unidad","Santa Cruz","","13/04/2015","Trinidad"
"Cebolla","Roja","0   Bs.-/Bolsa (8@)","40   Bs.-/Arroba (@)","Santa Cruz","","13/04/2015","Trinidad"
"Coliflor","Bola de nieve","0   Bs.-/Canasta","8   Bs.-/Unidad","Santa Cruz","","13/04/2015","Trinidad"
"Durazno","Amarillo","0   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","Santa Cruz","","13/04/2015","Trinidad"
"Frejol","Mantecoso","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","13/04/2015","Trinidad"
"Frejol","Negro","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","13/04/2015","Trinidad"
"Haba","Comun (en vaina)","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Santa Cruz","","13/04/2015","Trinidad"
"Harina","de Maiz amarillo","0   Bs.-/qq","40   Bs.-/Arroba (@)","Santa Cruz","","13/04/2015","Trinidad"
"Harina","de Trigo","0   Bs.-/qq","83   Bs.-/Arroba (@)","Santa Cruz","","13/04/2015","Trinidad"
"Huevo","Criollo","0   Bs.-/100 U.","100   Bs.-/100 U.","Beni","","13/04/2015","Trinidad"
"Huevo","de Granja","0   Bs.-/100 U.","60   Bs.-/100 U.","Santa Cruz","","13/04/2015","Trinidad"
"Lechuga","Crespa","0   Bs.-/Canasta","3   Bs.-/Unidad","Santa Cruz","","13/04/2015","Trinidad"
"Lechuga","Escarola","0   Bs.-/Canasta","4   Bs.-/Unidad","Santa Cruz","","13/04/2015","Trinidad"
"Lima","Criolla","0   Bs.-/100 U.","12   Bs.-/25 U.","Beni","","13/04/2015","Trinidad"
"Limon","Amarillo","0   Bs.-/100 U.","8   Bs.-/25 U.","Beni","","13/04/2015","Trinidad"
"Limon","Criollo","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","13/04/2015","Trinidad"
"Limon","de Licuar","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","13/04/2015","Trinidad"
"Locoto","Cochabambino","0   Bs.-/Arroba (@)","8   Bs.-/3 Libras","Santa Cruz","","13/04/2015","Trinidad"
"Maiz","Choclo","0   Bs.-/100 U.","24   Bs.-/Docena","Santa Cruz","","13/04/2015","Trinidad"
"Maiz","Duro","0   Bs.-/qq","4   Bs.-/Kilo","Santa Cruz","","13/04/2015","Trinidad"
"Mandarina","Japonesa","0   Bs.-/100 U.","15   Bs.-/25 U.","Santa Cruz","","13/04/2015","Trinidad"
"Mani","Pelado","0   Bs.-/Arroba (@)","20   Bs.-/Kilo","Santa Cruz","","13/04/2015","Trinidad"
"Manzana","Lanin royal","0   Bs.-/Caja de 150U.","3   Bs.-/Unidad","Santa Cruz","","13/04/2015","Trinidad"
"Naranja","Criolla","0   Bs.-/100 U.","18   Bs.-/25 U.","Santa Cruz","","13/04/2015","Trinidad"
"Papa","Desiree (Holandesa)","0   Bs.-/Bolsa (10@)","60   Bs.-/Arroba (@)","Santa Cruz","","13/04/2015","Trinidad"
"Papa","Waycha (Arinosa)","0   Bs.-/Bolsa (10@)","60   Bs.-/Arroba (@)","Santa Cruz","","13/04/2015","Trinidad"
"Papaliza","Amarilla","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","Santa Cruz","","13/04/2015","Trinidad"
"Pepino","Comun","0   Bs.-/Arroba (@)","2   Bs.-/3 Libras","Beni","","13/04/2015","Trinidad"
"Pimenton","4 Puntas","0   Bs.-/Bolsa Grande","18   Bs.-/Docena","Beni","medianos","13/04/2015","Trinidad"
"Pollo","Granja","0   Bs.-/Kilo","14   Bs.-/Kilo","Santa Cruz","","13/04/2015","Trinidad"
"Repollo","Hibrido","0   Bs.-/Unidad","10   Bs.-/Unidad","Santa Cruz","","13/04/2015","Trinidad"
"Tomate","Manzana","0   Bs.-/Caja de 18 Kg","8   Bs.-/Kilo","Santa Cruz","","13/04/2015","Trinidad"
"Tomate","Pera","0   Bs.-/Caja de 18 Kg","6   Bs.-/Kilo","Santa Cruz","","13/04/2015","Trinidad"
"Trigo","Comun","0   Bs.-/Arroba (@)","10   Bs.-/Kilo","Santa Cruz","","13/04/2015","Trinidad"
"Vainita","Comun","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","13/04/2015","Trinidad"
"Yuca","Blanca","0   Bs.-/Bolsa (4@)","50   Bs.-/Arroba (@)","Beni","","13/04/2015","Trinidad"
"Zanahoria","Chantenay","0   Bs.-/Bolsa (10@)","50   Bs.-/Arroba (@)","Santa Cruz","","13/04/2015","Trinidad"
"Zapallo","Quintalero","0   Bs.-/Kilo","3   Bs.-/Kilo","Santa Cruz","","13/04/2015","Trinidad"
"Acelga","Comun","0   Bs.-/Amarro","20   Bs.-/Amarro","Santa Cruz","","10/04/2015","Trinidad"
"Acelga","Comun","0   Bs.-/Amarro","20   Bs.-/Amarro","Santa Cruz","","10/04/2015","Trinidad"
"Achojcha","Comun","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Achojcha","Comun","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Arveja","Verde (en vaina)","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Arveja","Verde (en vaina)","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Azucar","Guabira","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Azucar","Guabira","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Azucar","San Aurelio","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Azucar","San Aurelio","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Azucar","Unagro","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Azucar","Unagro","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Brocoli","Bola verde","0   Bs.-/Canasta","8   Bs.-/Unidad","Santa Cruz","","10/04/2015","Trinidad"
"Brocoli","Bola verde","0   Bs.-/Canasta","8   Bs.-/Unidad","Santa Cruz","","10/04/2015","Trinidad"
"Cebolla","Roja","0   Bs.-/Bolsa (8@)","40   Bs.-/Arroba (@)","Santa Cruz","","10/04/2015","Trinidad"
"Cebolla","Roja","0   Bs.-/Bolsa (8@)","40   Bs.-/Arroba (@)","Santa Cruz","","10/04/2015","Trinidad"
"Coliflor","Bola de nieve","0   Bs.-/Canasta","8   Bs.-/Unidad","Santa Cruz","","10/04/2015","Trinidad"
"Coliflor","Bola de nieve","0   Bs.-/Canasta","8   Bs.-/Unidad","Santa Cruz","","10/04/2015","Trinidad"
"Durazno","Amarillo","0   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Durazno","Amarillo","0   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Frejol","Carioca","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Frejol","Carioca","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Frejol","Mantecoso","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Frejol","Mantecoso","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Haba","Comun (en vaina)","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Haba","Comun (en vaina)","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Harina","de Maiz amarillo","0   Bs.-/qq","40   Bs.-/Arroba (@)","Santa Cruz","","10/04/2015","Trinidad"
"Harina","de Maiz amarillo","0   Bs.-/qq","40   Bs.-/Arroba (@)","Santa Cruz","","10/04/2015","Trinidad"
"Harina","de Trigo","0   Bs.-/qq","83   Bs.-/Arroba (@)","Santa Cruz","","10/04/2015","Trinidad"
"Harina","de Trigo","0   Bs.-/qq","83   Bs.-/Arroba (@)","Santa Cruz","","10/04/2015","Trinidad"
"Huevo","Criollo","0   Bs.-/100 U.","100   Bs.-/100 U.","Beni","","10/04/2015","Trinidad"
"Huevo","Criollo","0   Bs.-/100 U.","100   Bs.-/100 U.","Beni","","10/04/2015","Trinidad"
"Huevo","de Granja","0   Bs.-/100 U.","60   Bs.-/100 U.","Santa Cruz","","10/04/2015","Trinidad"
"Huevo","de Granja","0   Bs.-/100 U.","60   Bs.-/100 U.","Santa Cruz","","10/04/2015","Trinidad"
"Lechuga","Crespa","0   Bs.-/Canasta","3   Bs.-/Unidad","Santa Cruz","","10/04/2015","Trinidad"
"Lechuga","Crespa","0   Bs.-/Canasta","3   Bs.-/Unidad","Santa Cruz","","10/04/2015","Trinidad"
"Lechuga","Escarola","0   Bs.-/Canasta","4   Bs.-/Unidad","Santa Cruz","","10/04/2015","Trinidad"
"Lechuga","Escarola","0   Bs.-/Canasta","4   Bs.-/Unidad","Santa Cruz","","10/04/2015","Trinidad"
"Lima","Criolla","0   Bs.-/100 U.","15   Bs.-/25 U.","Beni","","10/04/2015","Trinidad"
"Lima","Criolla","0   Bs.-/100 U.","15   Bs.-/25 U.","Beni","","10/04/2015","Trinidad"
"Limon","Amarillo","0   Bs.-/100 U.","8   Bs.-/25 U.","Beni","","10/04/2015","Trinidad"
"Limon","Amarillo","0   Bs.-/100 U.","8   Bs.-/25 U.","Beni","","10/04/2015","Trinidad"
"Limon","Criollo","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","10/04/2015","Trinidad"
"Limon","Criollo","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","10/04/2015","Trinidad"
"Limon","de Licuar","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","10/04/2015","Trinidad"
"Limon","de Licuar","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","10/04/2015","Trinidad"
"Locoto","Cochabambino","0   Bs.-/Arroba (@)","8   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Locoto","Cochabambino","0   Bs.-/Arroba (@)","8   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Maiz","Blanco","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Maiz","Blanco","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Maiz","Choclo","0   Bs.-/100 U.","20   Bs.-/Docena","Beni","chico","10/04/2015","Trinidad"
"Maiz","Choclo","0   Bs.-/100 U.","20   Bs.-/Docena","Beni","chico","10/04/2015","Trinidad"
"Maiz","Duro","0   Bs.-/qq","4   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Maiz","Duro","0   Bs.-/qq","4   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Mandarina","Japonesa","0   Bs.-/100 U.","15   Bs.-/25 U.","Santa Cruz","","10/04/2015","Trinidad"
"Mandarina","Japonesa","0   Bs.-/100 U.","15   Bs.-/25 U.","Santa Cruz","","10/04/2015","Trinidad"
"Mani","Pelado","0   Bs.-/Arroba (@)","20   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Mani","Pelado","0   Bs.-/Arroba (@)","20   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Manzana","Lanin royal","0   Bs.-/Caja de 150U.","3   Bs.-/Unidad","Santa Cruz","","10/04/2015","Trinidad"
"Manzana","Lanin royal","0   Bs.-/Caja de 150U.","3   Bs.-/Unidad","Santa Cruz","","10/04/2015","Trinidad"
"Naranja","Criolla","0   Bs.-/100 U.","15   Bs.-/25 U.","Santa Cruz","","10/04/2015","Trinidad"
"Naranja","Criolla","0   Bs.-/100 U.","15   Bs.-/25 U.","Santa Cruz","","10/04/2015","Trinidad"
"Oca","Amarilla","0   Bs.-/Arroba (@)","4   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Oca","Amarilla","0   Bs.-/Arroba (@)","4   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Papa","Desiree (Holandesa)","0   Bs.-/Bolsa (10@)","60   Bs.-/Arroba (@)","Santa Cruz","","10/04/2015","Trinidad"
"Papa","Desiree (Holandesa)","0   Bs.-/Bolsa (10@)","60   Bs.-/Arroba (@)","Santa Cruz","","10/04/2015","Trinidad"
"Papa","Waycha (Arinosa)","0   Bs.-/Bolsa (10@)","60   Bs.-/Arroba (@)","Santa Cruz","","10/04/2015","Trinidad"
"Papa","Waycha (Arinosa)","0   Bs.-/Bolsa (10@)","60   Bs.-/Arroba (@)","Santa Cruz","","10/04/2015","Trinidad"
"Papaliza","Amarilla","0   Bs.-/Arroba (@)","8   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Papaliza","Amarilla","0   Bs.-/Arroba (@)","8   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Pepino","Comun","0   Bs.-/Arroba (@)","3   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Pepino","Comun","0   Bs.-/Arroba (@)","3   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Pimenton","4 Puntas","0   Bs.-/Bolsa Grande","24   Bs.-/Docena","Santa Cruz","","10/04/2015","Trinidad"
"Pimenton","4 Puntas","0   Bs.-/Bolsa Grande","24   Bs.-/Docena","Santa Cruz","","10/04/2015","Trinidad"
"Pollo","Granja","0   Bs.-/Kilo","14   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Pollo","Granja","0   Bs.-/Kilo","14   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Repollo","Hibrido","0   Bs.-/Unidad","8   Bs.-/Unidad","Santa Cruz","","10/04/2015","Trinidad"
"Repollo","Hibrido","0   Bs.-/Unidad","8   Bs.-/Unidad","Santa Cruz","","10/04/2015","Trinidad"
"Tomate","Manzana","0   Bs.-/Caja de 18 Kg","8   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Tomate","Manzana","0   Bs.-/Caja de 18 Kg","8   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Tomate","Pera","0   Bs.-/Caja de 18 Kg","6   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Tomate","Pera","0   Bs.-/Caja de 18 Kg","6   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Trigo","Comun","0   Bs.-/Arroba (@)","10   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Trigo","Comun","0   Bs.-/Arroba (@)","10   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Vainita","Comun","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Vainita","Comun","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","10/04/2015","Trinidad"
"Yuca","Blanca","0   Bs.-/Bolsa (4@)","50   Bs.-/Arroba (@)","Beni","","10/04/2015","Trinidad"
"Yuca","Blanca","0   Bs.-/Bolsa (4@)","50   Bs.-/Arroba (@)","Beni","","10/04/2015","Trinidad"
"Zanahoria","Chantenay","0   Bs.-/Bolsa (10@)","50   Bs.-/Arroba (@)","Santa Cruz","","10/04/2015","Trinidad"
"Zanahoria","Chantenay","0   Bs.-/Bolsa (10@)","50   Bs.-/Arroba (@)","Santa Cruz","","10/04/2015","Trinidad"
"Zapallo","Quintalero","0   Bs.-/Kilo","4   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Zapallo","Quintalero","0   Bs.-/Kilo","4   Bs.-/Kilo","Santa Cruz","","10/04/2015","Trinidad"
"Acelga","Comun","0   Bs.-/Amarro","20   Bs.-/Amarro","Santa Cruz","","09/04/2015","Trinidad"
"Achojcha","Comun","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Santa Cruz","","09/04/2015","Trinidad"
"Aji","Amarillo en Vaina Dulce","0   Bs.-/Arroba (@)","20   Bs.-/Kilo","Santa Cruz","","09/04/2015","Trinidad"
"Arveja","Verde (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","09/04/2015","Trinidad"
"Azucar","Guabira","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","09/04/2015","Trinidad"
"Azucar","Unagro","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","09/04/2015","Trinidad"
"Brocoli","Bola verde","0   Bs.-/Canasta","8   Bs.-/Unidad","Santa Cruz","","09/04/2015","Trinidad"
"Cebolla","Roja","0   Bs.-/Bolsa (8@)","45   Bs.-/Arroba (@)","Santa Cruz","","09/04/2015","Trinidad"
"Coliflor","Bola de nieve","0   Bs.-/Canasta","8   Bs.-/Unidad","Santa Cruz","","09/04/2015","Trinidad"
"Durazno","Amarillo","0   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","Santa Cruz","","09/04/2015","Trinidad"
"Frejol","Carioca","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","09/04/2015","Trinidad"
"Frejol","Mantecoso","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","09/04/2015","Trinidad"
"Frutilla","Sweet Charlie","0   Bs.-/Kilo","20   Bs.-/Kilo","Santa Cruz","","09/04/2015","Trinidad"
"Haba","Comun (en vaina)","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Santa Cruz","","09/04/2015","Trinidad"
"Harina","de Maiz amarillo","0   Bs.-/qq","40   Bs.-/Arroba (@)","Santa Cruz","","09/04/2015","Trinidad"
"Harina","de Trigo","0   Bs.-/qq","84   Bs.-/Arroba (@)","Santa Cruz","","09/04/2015","Trinidad"
"Huevo","Criollo","0   Bs.-/100 U.","90   Bs.-/100 U.","Beni","mercado pompeya","09/04/2015","Trinidad"
"Huevo","de Granja","0   Bs.-/100 U.","60   Bs.-/100 U.","Santa Cruz","","09/04/2015","Trinidad"
"Lechuga","Crespa","0   Bs.-/Canasta","3   Bs.-/Unidad","Santa Cruz","","09/04/2015","Trinidad"
"Lechuga","Escarola","0   Bs.-/Canasta","4   Bs.-/Unidad","Santa Cruz","","09/04/2015","Trinidad"
"Lima","Criolla","0   Bs.-/100 U.","8   Bs.-/25 U.","Beni","","09/04/2015","Trinidad"
"Limon","Amarillo","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","09/04/2015","Trinidad"
"Limon","Criollo","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","09/04/2015","Trinidad"
"Limon","de Licuar","0   Bs.-/100 U.","50   Bs.-/25 U.","Santa Cruz","","09/04/2015","Trinidad"
"Locoto","Cochabambino","0   Bs.-/Arroba (@)","8   Bs.-/3 Libras","Santa Cruz","","09/04/2015","Trinidad"
"Maiz","Choclo","0   Bs.-/100 U.","24   Bs.-/Docena","Santa Cruz","","09/04/2015","Trinidad"
"Maiz","Duro","0   Bs.-/qq","4   Bs.-/Kilo","Santa Cruz","","09/04/2015","Trinidad"
"Mandarina","Japonesa","0   Bs.-/100 U.","18   Bs.-/25 U.","Santa Cruz","","09/04/2015","Trinidad"
"Mani","Pelado","0   Bs.-/Arroba (@)","20   Bs.-/Kilo","Santa Cruz","","09/04/2015","Trinidad"
"Manzana","Lanin royal","0   Bs.-/Caja de 150U.","3   Bs.-/Unidad","Santa Cruz","","09/04/2015","Trinidad"
"Naranja","Criolla","0   Bs.-/100 U.","15   Bs.-/25 U.","Santa Cruz","","09/04/2015","Trinidad"
"Oca","Amarilla","0   Bs.-/Arroba (@)","4   Bs.-/3 Libras","Santa Cruz","","09/04/2015","Trinidad"
"Papa","Desiree (Holandesa)","0   Bs.-/Bolsa (10@)","55   Bs.-/Arroba (@)","Santa Cruz","","09/04/2015","Trinidad"
"Papa","Waycha (Arinosa)","0   Bs.-/Bolsa (10@)","60   Bs.-/Arroba (@)","Santa Cruz","","09/04/2015","Trinidad"
"Papaliza","Amarilla","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","Santa Cruz","","09/04/2015","Trinidad"
"Pepino","Comun","0   Bs.-/Arroba (@)","2   Bs.-/3 Libras","Beni","","09/04/2015","Trinidad"
"Pimenton","4 Puntas","0   Bs.-/Bolsa Grande","24   Bs.-/Docena","Santa Cruz","","09/04/2015","Trinidad"
"Pollo","Criollo","0   Bs.-/Kilo","32   Bs.-/Kilo","Santa Cruz","completo","09/04/2015","Trinidad"
"Pollo","Granja","0   Bs.-/Kilo","14   Bs.-/Kilo","Santa Cruz","","09/04/2015","Trinidad"
"Repollo","Hibrido","0   Bs.-/Unidad","8   Bs.-/Unidad","Santa Cruz","","09/04/2015","Trinidad"
"Tomate","Pera","0   Bs.-/Caja de 18 Kg","6   Bs.-/Kilo","Santa Cruz","","09/04/2015","Trinidad"
"Trigo","Comun","0   Bs.-/Arroba (@)","10   Bs.-/Kilo","Santa Cruz","","09/04/2015","Trinidad"
"Vainita","Comun","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","09/04/2015","Trinidad"
"Yuca","Blanca","0   Bs.-/Bolsa (4@)","50   Bs.-/Arroba (@)","Beni","","09/04/2015","Trinidad"
"Zanahoria","Chantenay","0   Bs.-/Bolsa (10@)","50   Bs.-/Arroba (@)","Santa Cruz","","09/04/2015","Trinidad"
"Zapallo","Quintalero","0   Bs.-/Kilo","4   Bs.-/Kilo","Santa Cruz","","09/04/2015","Trinidad"
"Acelga","Comun","0   Bs.-/Amarro","20   Bs.-/Amarro","Santa Cruz","","08/04/2015","Trinidad"
