"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Arveja","Verde (en vaina)","Pojo","90   Bs.-/Bolsa (2@)","7   Bs.-/3 Libras","","13/12/2012","Cochabamba"
"Azucar","San Aurelio","Santa Cruz","205   Bs.-/qq","6   Bs.-/Kilo","","13/12/2012","Cochabamba"
"Azucar","Unagro","Santa Cruz","205   Bs.-/qq","6   Bs.-/Kilo","","13/12/2012","Cochabamba"
"Brocoli","Bola verde","Vinto","0   Bs.-/Canasta","4   Bs.-/Unidad","pequeño","13/12/2012","Cochabamba"
"Cebolla","Blanca","Peru","0   Bs.-/Bolsa (8@)","50   Bs.-/Arroba (@)","mediano","13/12/2012","Cochabamba"
"Cebolla","Roja","Descon.","160   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","grande","13/12/2012","Cochabamba"
"Coliflor","Bola de nieve","Vinto","0   Bs.-/Canasta","5   Bs.-/Unidad","pequeño","13/12/2012","Cochabamba"
"Durazno","Criollo","San Isidro","180   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","grande","13/12/2012","Cochabamba"
"Espinaca","Comun","No determinado","0   Bs.-/Bolsa Grande","8   Bs.-/3 Libras","","13/12/2012","Cochabamba"
"Frejol","Carioca","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","13/12/2012","Cochabamba"
"Frejol","Mantecoso","Santa Cruz","700   Bs.-/qq","10   Bs.-/Kilo","grande","13/12/2012","Cochabamba"
"Frejol","Negro","Santa Cruz","280   Bs.-/qq","10   Bs.-/Kilo","","13/12/2012","Cochabamba"
"Frutilla","Sweet Charlie","Pojo","6   Bs.-/Kilo","15   Bs.-/Kilo","pequeño","13/12/2012","Cochabamba"
"Haba","Comun (en vaina)","Morochata","70   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","grande","13/12/2012","Cochabamba"
"Harina","de Maiz amarillo","Mairana","75   Bs.-/qq","28   Bs.-/Arroba (@)","","13/12/2012","Cochabamba"
"Harina","de Trigo","Argentina","205   Bs.-/qq","50   Bs.-/Arroba (@)","","13/12/2012","Cochabamba"
"Harina","Morada","Descon.","0   Bs.-/qq","120   Bs.-/Arroba (@)","","13/12/2012","Cochabamba"
"Huevo","de Granja","Valle Bajo","58   Bs.-/100 U.","62   Bs.-/100 U.","","13/12/2012","Cochabamba"
"Lechuga","Crespa","Valle Bajo","80   Bs.-/Canasta","1   Bs.-/Unidad","","13/12/2012","Cochabamba"
"Lima","Criolla","Chapare","0   Bs.-/100 U.","20   Bs.-/25 U.","pequeño","13/12/2012","Cochabamba"
"Limon","Amarillo","Chapare","15   Bs.-/100 U.","20   Bs.-/25 U.","pequeño","13/12/2012","Cochabamba"
"Limon","Criollo","Tiquipaya","35   Bs.-/100 U.","20   Bs.-/25 U.","","13/12/2012","Cochabamba"
"Limon","de Licuar","Chapare","35   Bs.-/100 U.","20   Bs.-/25 U.","mediano","13/12/2012","Cochabamba"
"Locoto","Cochabambino","Locotal","30   Bs.-/Arroba (@)","3   Bs.-/3 Libras","grande","13/12/2012","Cochabamba"
"Maiz","Blanco","Cliza","450   Bs.-/qq","12   Bs.-/Kilo","grande","13/12/2012","Cochabamba"
"Maiz","Blanco pelado","Cliza","320   Bs.-/qq","10   Bs.-/Kilo","","13/12/2012","Cochabamba"
"Maiz","Choclo","Comarapa","0   Bs.-/100 U.","20   Bs.-/Docena","de primera","13/12/2012","Cochabamba"
"Maiz","Duro","Cliza","60   Bs.-/qq","4   Bs.-/Kilo","","13/12/2012","Cochabamba"
"Maiz","Morocho (Culli)","Chapare","400   Bs.-/qq","8   Bs.-/Kilo","","13/12/2012","Cochabamba"
"Mani","Overo Desgranado","Sucre","620   Bs.-/qq","17   Bs.-/Kilo","","13/12/2012","Cochabamba"
"Mani","Overo en vaina","Sucre","450   Bs.-/qq","15   Bs.-/Kilo","","13/12/2012","Cochabamba"
"Mani","Pelado","Sucre","190   Bs.-/Arroba (@)","17   Bs.-/Kilo","","13/12/2012","Cochabamba"
"Mani","Rojo largo Desgranado","Sucre","460   Bs.-/qq","17   Bs.-/Kilo","","13/12/2012","Cochabamba"
"Mani","Rojo largo en vaina","Sucre","560   Bs.-/qq","12   Bs.-/Kilo","","13/12/2012","Cochabamba"
"Manzana","Criolla","Peru","50   Bs.-/Arroba (@)","3   Bs.-/Libra","mediano","13/12/2012","Cochabamba"
"Manzana","Lanin royal","Chileno","165   Bs.-/Caja de 150U.","2   Bs.-/Unidad","","13/12/2012","Cochabamba"
"Naranja","Criolla","Chapare","0   Bs.-/100 U.","12   Bs.-/25 U.","","13/12/2012","Cochabamba"
"Papa","Desiree (Holandesa)","Morochata","340   Bs.-/Bolsa (10@)","30   Bs.-/Arroba (@)","grande","13/12/2012","Cochabamba"
"Papa","Imilla","Morochata","180   Bs.-/Bolsa (10@)","25   Bs.-/Arroba (@)","pequeño","13/12/2012","Cochabamba"
"Papa","Waycha (Arinosa)","Morochata","360   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","mediano","13/12/2012","Cochabamba"
"Papaliza","Amarilla","Chacapaya","40   Bs.-/Arroba (@)","6   Bs.-/3 Libras","","13/12/2012","Cochabamba"
"Pepino","Comun","Vinto","20   Bs.-/Arroba (@)","2   Bs.-/3 Libras","","13/12/2012","Cochabamba"
"Pimenton","4 Puntas","No determinado","60   Bs.-/Bolsa Grande","6   Bs.-/Docena","grande","13/12/2012","Cochabamba"
"Pollo","Criollo","Valle Bajo","0   Bs.-/Kilo","18   Bs.-/Kilo","","13/12/2012","Cochabamba"
"Pollo","Granja","Valle Bajo","0   Bs.-/Kilo","16   Bs.-/Kilo","","13/12/2012","Cochabamba"
"Repollo","Hibrido","Valle Bajo","2   Bs.-/Unidad","5   Bs.-/Unidad","pequeño","13/12/2012","Cochabamba"
"Tomate","Pera","Saipina","35   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","grande","13/12/2012","Cochabamba"
"Vainita","Comun","Valle Bajo","35   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","13/12/2012","Cochabamba"
"Yuca","Blanca","Chapare","0   Bs.-/Bolsa (4@)","20   Bs.-/Arroba (@)","","13/12/2012","Cochabamba"
"Yuca","Rosada","Chapare","0   Bs.-/Bolsa (4@)","20   Bs.-/Arroba (@)","","13/12/2012","Cochabamba"
"Zanahoria","Chantenay","No determinado","180   Bs.-/Bolsa (10@)","25   Bs.-/Arroba (@)","mediano","13/12/2012","Cochabamba"
"Zapallo","Quintalero","Locotal","2   Bs.-/Kilo","3   Bs.-/Kilo","","13/12/2012","Cochabamba"
"Acelga","Comun","Vinto","3   Bs.-/Amarro","5   Bs.-/Amarro","mediano","12/12/2012","Cochabamba"
"Achojcha","Comun","Los Negros","70   Bs.-/Bolsa (2@)","9   Bs.-/3 Libras","mediano","12/12/2012","Cochabamba"
"Aji","Amarillo en Vaina Dulce","Sucre","0   Bs.-/Arroba (@)","32   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Aji","Rojo en Vaina Dulce","Sucre","0   Bs.-/Arroba (@)","30   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Arveja","Verde (en vaina)","Pojo","110   Bs.-/Bolsa (2@)","9   Bs.-/3 Libras","","12/12/2012","Cochabamba"
"Azucar","San Aurelio","Santa Cruz","205   Bs.-/qq","6   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Azucar","Unagro","Santa Cruz","205   Bs.-/qq","6   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Brocoli","Bola verde","Vinto","70   Bs.-/Canasta","5   Bs.-/Unidad","grande","12/12/2012","Cochabamba"
"Cebolla","Blanca","Peru","420   Bs.-/Bolsa (8@)","50   Bs.-/Arroba (@)","mediano","12/12/2012","Cochabamba"
"Cebolla","Roja","Descon.","140   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","pequeño","12/12/2012","Cochabamba"
"Coliflor","Bola de nieve","Vinto","0   Bs.-/Canasta","3   Bs.-/Unidad","pequeño","12/12/2012","Cochabamba"
"Durazno","Criollo","San Isidro","180   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","grande","12/12/2012","Cochabamba"
"Espinaca","Comun","No determinado","0   Bs.-/Bolsa Grande","8   Bs.-/3 Libras","","12/12/2012","Cochabamba"
"Frejol","Carioca","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Frejol","Mantecoso","Santa Cruz","700   Bs.-/qq","10   Bs.-/Kilo","grande","12/12/2012","Cochabamba"
"Frejol","Negro","Santa Cruz","280   Bs.-/qq","10   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Frutilla","Sweet Charlie","Pojo","10   Bs.-/Kilo","15   Bs.-/Kilo","grande","12/12/2012","Cochabamba"
"Haba","Comun (en vaina)","Morochata","58   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","mediano","12/12/2012","Cochabamba"
"Harina","de Maiz amarillo","Mairana","75   Bs.-/qq","28   Bs.-/Arroba (@)","","12/12/2012","Cochabamba"
"Harina","de Trigo","Argentina","205   Bs.-/qq","50   Bs.-/Arroba (@)","","12/12/2012","Cochabamba"
"Harina","Morada","Descon.","0   Bs.-/qq","120   Bs.-/Arroba (@)","","12/12/2012","Cochabamba"
"Huevo","Criollo","Cliza","0   Bs.-/100 U.","100   Bs.-/100 U.","","12/12/2012","Cochabamba"
"Huevo","de Granja","Valle Bajo","58   Bs.-/100 U.","62   Bs.-/100 U.","","12/12/2012","Cochabamba"
"Lechuga","Crespa","Valle Bajo","80   Bs.-/Canasta","1   Bs.-/Unidad","","12/12/2012","Cochabamba"
"Lima","Criolla","Chapare","0   Bs.-/100 U.","20   Bs.-/25 U.","pequeño","12/12/2012","Cochabamba"
"Limon","Amarillo","Chapare","20   Bs.-/100 U.","20   Bs.-/25 U.","mediano","12/12/2012","Cochabamba"
"Limon","Criollo","Tiquipaya","40   Bs.-/100 U.","20   Bs.-/25 U.","","12/12/2012","Cochabamba"
"Limon","de Licuar","Chapare","35   Bs.-/100 U.","20   Bs.-/25 U.","mediano","12/12/2012","Cochabamba"
"Locoto","Cochabambino","Locotal","30   Bs.-/Arroba (@)","3   Bs.-/3 Libras","grande","12/12/2012","Cochabamba"
"Maiz","Blanco","Cliza","450   Bs.-/qq","12   Bs.-/Kilo","grande","12/12/2012","Cochabamba"
"Maiz","Blanco pelado","Cliza","320   Bs.-/qq","10   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Maiz","Choclo","Comarapa","180   Bs.-/100 U.","17   Bs.-/Docena","de primera","12/12/2012","Cochabamba"
"Maiz","Duro","Cliza","60   Bs.-/qq","4   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Maiz","Morocho (Culli)","Chapare","400   Bs.-/qq","8   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Mani","Overo Desgranado","Sucre","620   Bs.-/qq","17   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Mani","Overo en vaina","Sucre","450   Bs.-/qq","15   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Mani","Pelado","Sucre","190   Bs.-/Arroba (@)","17   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Mani","Rojo largo Desgranado","Sucre","460   Bs.-/qq","17   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Mani","Rojo largo en vaina","Sucre","560   Bs.-/qq","12   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Manzana","Criolla","Peru","50   Bs.-/Arroba (@)","3   Bs.-/Libra","mediano","12/12/2012","Cochabamba"
"Manzana","Lanin royal","Chileno","165   Bs.-/Caja de 150U.","2   Bs.-/Unidad","","12/12/2012","Cochabamba"
"Naranja","Criolla","Chapare","0   Bs.-/100 U.","12   Bs.-/25 U.","","12/12/2012","Cochabamba"
"Papa","Desiree (Holandesa)","Morochata","320   Bs.-/Bolsa (10@)","30   Bs.-/Arroba (@)","grande","12/12/2012","Cochabamba"
"Papa","Imilla","Morochata","180   Bs.-/Bolsa (10@)","25   Bs.-/Arroba (@)","pequeño","12/12/2012","Cochabamba"
"Papa","Waycha (Arinosa)","Morochata","380   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","grande","12/12/2012","Cochabamba"
"Papaliza","Amarilla","Chacapaya","40   Bs.-/Arroba (@)","6   Bs.-/3 Libras","","12/12/2012","Cochabamba"
"Pepino","Comun","Vinto","20   Bs.-/Arroba (@)","2   Bs.-/3 Libras","","12/12/2012","Cochabamba"
"Pimenton","4 Puntas","No determinado","50   Bs.-/Bolsa Grande","6   Bs.-/Docena","grande","12/12/2012","Cochabamba"
"Pollo","Criollo","Valle Bajo","0   Bs.-/Kilo","18   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Pollo","Granja","Valle Bajo","0   Bs.-/Kilo","16   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Repollo","Hibrido","Valle Bajo","2   Bs.-/Unidad","5   Bs.-/Unidad","pequeño","12/12/2012","Cochabamba"
"Tomate","Pera","Saipina","40   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","grande","12/12/2012","Cochabamba"
"Vainita","Comun","Valle Bajo","35   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","12/12/2012","Cochabamba"
"Yuca","Blanca","Chapare","65   Bs.-/Bolsa (4@)","20   Bs.-/Arroba (@)","","12/12/2012","Cochabamba"
"Yuca","Rosada","Chapare","65   Bs.-/Bolsa (4@)","20   Bs.-/Arroba (@)","","12/12/2012","Cochabamba"
"Zanahoria","Chantenay","No determinado","180   Bs.-/Bolsa (10@)","25   Bs.-/Arroba (@)","mediano","12/12/2012","Cochabamba"
"Zapallo","Quintalero","Locotal","2   Bs.-/Kilo","3   Bs.-/Kilo","","12/12/2012","Cochabamba"
"Acelga","Comun","Vinto","3   Bs.-/Amarro","5   Bs.-/Amarro","mediano","11/12/2012","Cochabamba"
"Achojcha","Comun","Los Negros","80   Bs.-/Bolsa (2@)","9   Bs.-/3 Libras","grande","11/12/2012","Cochabamba"
"Arveja","Verde (en vaina)","Pojo","90   Bs.-/Bolsa (2@)","9   Bs.-/3 Libras","","11/12/2012","Cochabamba"
"Azucar","San Aurelio","Santa Cruz","205   Bs.-/qq","6   Bs.-/Kilo","","11/12/2012","Cochabamba"
"Azucar","Unagro","Santa Cruz","205   Bs.-/qq","6   Bs.-/Kilo","","11/12/2012","Cochabamba"
"Brocoli","Bola verde","Vinto","70   Bs.-/Canasta","5   Bs.-/Unidad","grande","11/12/2012","Cochabamba"
"Cebolla","Blanca","Peru","440   Bs.-/Bolsa (8@)","50   Bs.-/Arroba (@)","pequeño","11/12/2012","Cochabamba"
"Cebolla","Roja","Descon.","160   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","mediano","11/12/2012","Cochabamba"
"Coliflor","Bola de nieve","Vinto","0   Bs.-/Canasta","5   Bs.-/Unidad","mediano","11/12/2012","Cochabamba"
"Durazno","Criollo","San Isidro","150   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","pequeño","11/12/2012","Cochabamba"
"Espinaca","Comun","No determinado","0   Bs.-/Bolsa Grande","8   Bs.-/3 Libras","","11/12/2012","Cochabamba"
"Frejol","Carioca","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","11/12/2012","Cochabamba"
"Frejol","Mantecoso","Santa Cruz","700   Bs.-/qq","10   Bs.-/Kilo","grande","11/12/2012","Cochabamba"
"Frejol","Negro","Santa Cruz","280   Bs.-/qq","10   Bs.-/Kilo","","11/12/2012","Cochabamba"
"Frutilla","Sweet Charlie","Pojo","6   Bs.-/Kilo","15   Bs.-/Kilo","pequeño","11/12/2012","Cochabamba"
"Haba","Comun (en vaina)","Morochata","70   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","grande","11/12/2012","Cochabamba"
"Harina","de Maiz amarillo","Mairana","75   Bs.-/qq","28   Bs.-/Arroba (@)","","11/12/2012","Cochabamba"
"Harina","de Trigo","Argentina","205   Bs.-/qq","50   Bs.-/Arroba (@)","","11/12/2012","Cochabamba"
"Harina","Morada","Descon.","0   Bs.-/qq","120   Bs.-/Arroba (@)","","11/12/2012","Cochabamba"
"Huevo","de Granja","Valle Bajo","58   Bs.-/100 U.","62   Bs.-/100 U.","","11/12/2012","Cochabamba"
"Lechuga","Crespa","Valle Bajo","80   Bs.-/Canasta","1   Bs.-/Unidad","","11/12/2012","Cochabamba"
"Limon","Amarillo","Chapare","30   Bs.-/100 U.","20   Bs.-/25 U.","mediano","11/12/2012","Cochabamba"
"Limon","Criollo","Tiquipaya","40   Bs.-/100 U.","20   Bs.-/25 U.","","11/12/2012","Cochabamba"
"Limon","de Licuar","Chapare","35   Bs.-/100 U.","20   Bs.-/25 U.","mediano","11/12/2012","Cochabamba"
"Locoto","Cochabambino","Locotal","25   Bs.-/Arroba (@)","3   Bs.-/3 Libras","mediano","11/12/2012","Cochabamba"
"Maiz","Blanco","Cliza","450   Bs.-/qq","12   Bs.-/Kilo","grande","11/12/2012","Cochabamba"
"Maiz","Blanco pelado","Cliza","320   Bs.-/qq","10   Bs.-/Kilo","","11/12/2012","Cochabamba"
"Maiz","Choclo","Comarapa","150   Bs.-/100 U.","17   Bs.-/Docena","de primera","11/12/2012","Cochabamba"
"Maiz","Duro","Cliza","60   Bs.-/qq","4   Bs.-/Kilo","","11/12/2012","Cochabamba"
"Maiz","Morocho (Culli)","Chapare","400   Bs.-/qq","8   Bs.-/Kilo","","11/12/2012","Cochabamba"
"Mani","Overo Desgranado","Sucre","620   Bs.-/qq","17   Bs.-/Kilo","","11/12/2012","Cochabamba"
"Mani","Overo en vaina","Sucre","450   Bs.-/qq","15   Bs.-/Kilo","","11/12/2012","Cochabamba"
"Mani","Pelado","Sucre","190   Bs.-/Arroba (@)","17   Bs.-/Kilo","","11/12/2012","Cochabamba"
"Mani","Rojo largo Desgranado","Sucre","460   Bs.-/qq","17   Bs.-/Kilo","","11/12/2012","Cochabamba"
"Mani","Rojo largo en vaina","Sucre","560   Bs.-/qq","12   Bs.-/Kilo","","11/12/2012","Cochabamba"
"Manzana","Criolla","Peru","48   Bs.-/Arroba (@)","3   Bs.-/Libra","mediano","11/12/2012","Cochabamba"
"Manzana","Lanin royal","Chileno","165   Bs.-/Caja de 150U.","2   Bs.-/Unidad","","11/12/2012","Cochabamba"
"Naranja","Criolla","Chapare","0   Bs.-/100 U.","12   Bs.-/25 U.","","11/12/2012","Cochabamba"
"Papa","Desiree (Holandesa)","Morochata","320   Bs.-/Bolsa (10@)","30   Bs.-/Arroba (@)","pequeño","11/12/2012","Cochabamba"
"Papa","Imilla","Morochata","210   Bs.-/Bolsa (10@)","25   Bs.-/Arroba (@)","pequeño","11/12/2012","Cochabamba"
"Papa","Waycha (Arinosa)","Morochata","360   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","pequeño","11/12/2012","Cochabamba"
"Papaliza","Amarilla","Chacapaya","40   Bs.-/Arroba (@)","6   Bs.-/3 Libras","","11/12/2012","Cochabamba"
"Pepino","Comun","Vinto","20   Bs.-/Arroba (@)","2   Bs.-/3 Libras","","11/12/2012","Cochabamba"
"Pimenton","4 Puntas","No determinado","25   Bs.-/Bolsa Grande","6   Bs.-/Docena","mediano","11/12/2012","Cochabamba"
"Pollo","Criollo","Valle Bajo","0   Bs.-/Kilo","18   Bs.-/Kilo","","11/12/2012","Cochabamba"
"Pollo","Granja","Valle Bajo","0   Bs.-/Kilo","16   Bs.-/Kilo","","11/12/2012","Cochabamba"
"Repollo","Hibrido","Valle Bajo","2   Bs.-/Unidad","5   Bs.-/Unidad","pequeño","11/12/2012","Cochabamba"
"Tomate","Pera","Saipina","20   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","pequeño","11/12/2012","Cochabamba"
"Vainita","Comun","Valle Bajo","25   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","11/12/2012","Cochabamba"
"Yuca","Blanca","Chapare","0   Bs.-/Bolsa (4@)","20   Bs.-/Arroba (@)","","11/12/2012","Cochabamba"
"Yuca","Rosada","Chapare","0   Bs.-/Bolsa (4@)","20   Bs.-/Arroba (@)","","11/12/2012","Cochabamba"
"Zanahoria","Chantenay","No determinado","180   Bs.-/Bolsa (10@)","25   Bs.-/Arroba (@)","mediano","11/12/2012","Cochabamba"
"Zapallo","Quintalero","Locotal","2   Bs.-/Kilo","3   Bs.-/Kilo","","11/12/2012","Cochabamba"
"Acelga","Comun","Vinto","3   Bs.-/Amarro","5   Bs.-/Amarro","mediano","10/12/2012","Cochabamba"
"Achojcha","Comun","Los Negros","80   Bs.-/Bolsa (2@)","9   Bs.-/3 Libras","grande","10/12/2012","Cochabamba"
"Arveja","Verde (en vaina)","Pojo","110   Bs.-/Bolsa (2@)","9   Bs.-/3 Libras","","10/12/2012","Cochabamba"
"Azucar","San Aurelio","Santa Cruz","205   Bs.-/qq","6   Bs.-/Kilo","","10/12/2012","Cochabamba"
"Azucar","Unagro","Santa Cruz","205   Bs.-/qq","6   Bs.-/Kilo","","10/12/2012","Cochabamba"
"Brocoli","Bola verde","Vinto","0   Bs.-/Canasta","2   Bs.-/Unidad","pequeño","10/12/2012","Cochabamba"
"Cebolla","Blanca","Peru","0   Bs.-/Bolsa (8@)","50   Bs.-/Arroba (@)","pequeño","10/12/2012","Cochabamba"
"Cebolla","Roja","Descon.","160   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","mediano","10/12/2012","Cochabamba"
"Coliflor","Bola de nieve","Vinto","0   Bs.-/Canasta","5   Bs.-/Unidad","mediano","10/12/2012","Cochabamba"
"Durazno","Criollo","San Isidro","170   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","mediano","10/12/2012","Cochabamba"
"Espinaca","Comun","No determinado","0   Bs.-/Bolsa Grande","8   Bs.-/3 Libras","","10/12/2012","Cochabamba"
"Frejol","Carioca","Santa Cruz","0   Bs.-/qq","10   Bs.-/Kilo","","10/12/2012","Cochabamba"
"Frejol","Mantecoso","Santa Cruz","700   Bs.-/qq","10   Bs.-/Kilo","grande","10/12/2012","Cochabamba"
"Frejol","Negro","Santa Cruz","280   Bs.-/qq","10   Bs.-/Kilo","","10/12/2012","Cochabamba"
"Frutilla","Sweet Charlie","Pojo","8   Bs.-/Kilo","15   Bs.-/Kilo","grande","10/12/2012","Cochabamba"
"Haba","Comun (en vaina)","Morochata","70   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","grande","10/12/2012","Cochabamba"
"Harina","de Maiz amarillo","Mairana","75   Bs.-/qq","28   Bs.-/Arroba (@)","","10/12/2012","Cochabamba"
"Harina","de Trigo","Argentina","205   Bs.-/qq","50   Bs.-/Arroba (@)","","10/12/2012","Cochabamba"
"Harina","Morada","Descon.","0   Bs.-/qq","120   Bs.-/Arroba (@)","","10/12/2012","Cochabamba"
"Huevo","de Granja","Valle Bajo","58   Bs.-/100 U.","62   Bs.-/100 U.","","10/12/2012","Cochabamba"
"Lechuga","Crespa","Valle Bajo","70   Bs.-/Canasta","1   Bs.-/Unidad","","10/12/2012","Cochabamba"
"Limon","Amarillo","Chapare","20   Bs.-/100 U.","20   Bs.-/25 U.","pequeño","10/12/2012","Cochabamba"
"Limon","Criollo","Tiquipaya","40   Bs.-/100 U.","20   Bs.-/25 U.","","10/12/2012","Cochabamba"
"Limon","de Licuar","Chapare","35   Bs.-/100 U.","20   Bs.-/25 U.","mediano","10/12/2012","Cochabamba"
"Locoto","Cochabambino","Locotal","16   Bs.-/Arroba (@)","3   Bs.-/3 Libras","mediano","10/12/2012","Cochabamba"
"Maiz","Blanco","Cliza","450   Bs.-/qq","12   Bs.-/Kilo","grande","10/12/2012","Cochabamba"
"Maiz","Blanco pelado","Cliza","320   Bs.-/qq","10   Bs.-/Kilo","","10/12/2012","Cochabamba"
"Maiz","Choclo","Comarapa","110   Bs.-/100 U.","17   Bs.-/Docena","de segunda","10/12/2012","Cochabamba"
"Maiz","Duro","Cliza","60   Bs.-/qq","4   Bs.-/Kilo","","10/12/2012","Cochabamba"
"Maiz","Morocho (Culli)","Chapare","400   Bs.-/qq","8   Bs.-/Kilo","","10/12/2012","Cochabamba"
"Mani","Overo Desgranado","Sucre","620   Bs.-/qq","17   Bs.-/Kilo","","10/12/2012","Cochabamba"
"Mani","Overo en vaina","Sucre","450   Bs.-/qq","15   Bs.-/Kilo","","10/12/2012","Cochabamba"
"Mani","Pelado","Sucre","190   Bs.-/Arroba (@)","17   Bs.-/Kilo","","10/12/2012","Cochabamba"
"Mani","Rojo largo Desgranado","Sucre","460   Bs.-/qq","17   Bs.-/Kilo","","10/12/2012","Cochabamba"
"Mani","Rojo largo en vaina","Sucre","560   Bs.-/qq","12   Bs.-/Kilo","","10/12/2012","Cochabamba"
"Manzana","Criolla","Vinto","48   Bs.-/Arroba (@)","3   Bs.-/Libra","mediano","10/12/2012","Cochabamba"
"Manzana","Lanin royal","Chileno","165   Bs.-/Caja de 150U.","2   Bs.-/Unidad","","10/12/2012","Cochabamba"
"Naranja","Criolla","Chapare","42   Bs.-/100 U.","12   Bs.-/25 U.","","10/12/2012","Cochabamba"
"Papa","Desiree (Holandesa)","Morochata","320   Bs.-/Bolsa (10@)","30   Bs.-/Arroba (@)","pequeño","10/12/2012","Cochabamba"
"Papa","Imilla","Morochata","210   Bs.-/Bolsa (10@)","25   Bs.-/Arroba (@)","pequeño","10/12/2012","Cochabamba"
"Papa","Waycha (Arinosa)","Morochata","360   Bs.-/Bolsa (10@)","40   Bs.-/Arroba (@)","pequeño","10/12/2012","Cochabamba"
"Papaliza","Amarilla","Chacapaya","40   Bs.-/Arroba (@)","6   Bs.-/3 Libras","","10/12/2012","Cochabamba"
"Pepino","Comun","Vinto","20   Bs.-/Arroba (@)","2   Bs.-/3 Libras","","10/12/2012","Cochabamba"
"Pimenton","4 Puntas","No determinado","30   Bs.-/Bolsa Grande","6   Bs.-/Docena","grande","10/12/2012","Cochabamba"
"Pollo","Criollo","Valle Bajo","0   Bs.-/Kilo","18   Bs.-/Kilo","","10/12/2012","Cochabamba"
"Pollo","Granja","Valle Bajo","0   Bs.-/Kilo","16   Bs.-/Kilo","","10/12/2012","Cochabamba"
"Repollo","Hibrido","Valle Bajo","2   Bs.-/Unidad","5   Bs.-/Unidad","pequeño","10/12/2012","Cochabamba"
"Tomate","Pera","Saipina","35   Bs.-/Caja de 18 Kg","4   Bs.-/Kilo","grande","10/12/2012","Cochabamba"
"Vainita","Comun","Valle Bajo","32   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","10/12/2012","Cochabamba"
"Yuca","Blanca","Chapare","0   Bs.-/Bolsa (4@)","20   Bs.-/Arroba (@)","","10/12/2012","Cochabamba"
"Yuca","Rosada","Chapare","0   Bs.-/Bolsa (4@)","20   Bs.-/Arroba (@)","","10/12/2012","Cochabamba"
"Zanahoria","Chantenay","No determinado","120   Bs.-/Bolsa (10@)","25   Bs.-/Arroba (@)","mediano","10/12/2012","Cochabamba"
